organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
9606	Homo sapiens	Primates	Lrig1	LRIG1	LRIG1	26018	ncbigene_symbol	11	18
9606	Homo sapiens	Primates	EGFR	EGFR	EGFR	1956	ncbigene_symbol	11	18
9606	Homo sapiens	Primates	NOTCHÍ	NOTCH	NOTCH1	4851	famplex_relations	11	18
9606	Homo sapiens	Primates	NOTCHÍ	NOTCH	NOTCH2	4853	famplex_relations	11	18
9606	Homo sapiens	Primates	NOTCHÍ	NOTCH	NOTCH3	4854	famplex_relations	11	18
9606	Homo sapiens	Primates	NOTCHÍ	NOTCH	NOTCH4	4855	famplex_relations	11	18
9606	Homo sapiens	Primates	Act1	ACT1	TRAF3IP2	10758	ncbigene_synonym	11	18
9606	Homo sapiens	Primates	StO	STO	NSD1	64324	ncbigene_synonym	11	18
9606	Homo sapiens	Primates	Syk	SYK	SYK	6850	ncbigene_symbol	11	18
9606	Homo sapiens	Primates	TRAF4	TRAF4	TRAF4	9618	ncbigene_symbol	11	18
9606	Homo sapiens	Primates	SOS1	SOS1	SOS1	6654	ncbigene_symbol	11	18
9606	Homo sapiens	Primates	SOS1	SOS1	SOS1	6654	ncbigene_synonym	11	18
9606	Homo sapiens	Primates	TRAF6	TRAF6	TRAF6	7189	ncbigene_symbol	11	18
9606	Homo sapiens	Primates	CARD14	CARD14	CARD14	79092	ncbigene_symbol	11	18
9606	Homo sapiens	Primates	Lrig1*	LRIG1	LRIG1	26018	ncbigene_symbol	11	18
9606	Homo sapiens	Primates	BCL10	BCL10	BCL10	8915	ncbigene_symbol	11	18
9606	Homo sapiens	Primates	IL-17-induced	IL-17	IL17A	3605	ncbigene_synonym	11	18
9606	Homo sapiens	Primates	NOTCH1-	NOTCH1	NOTCH1	4851	ncbigene_symbol	11	18
9606	Homo sapiens	Primates	ERK1	ERK1	MAPK3	5595	ncbigene_synonym	11	18
9606	Homo sapiens	Primates	ERK1/2	ERK2	MAPK1	5594	ncbigene_synonym	11	18
9606	Homo sapiens	Primates	ERK1/2	ERK1	MAPK3	5595	ncbigene_synonym	11	18
9606	Homo sapiens	Primates	NFKB	NFKB	NFKB1	4790	ncbigene_synonym	11	18
9606	Homo sapiens	Primates	NFKB	NFKB	RELA	5970	famplex_relations	11	18
9606	Homo sapiens	Primates	NFKB	NFKB	RELB	5971	famplex_relations	11	18
9606	Homo sapiens	Primates	NFKB	NFKB	REL	5966	famplex_relations	11	18
9606	Homo sapiens	Primates	NFKB	NFKB	NFKB1	4790	famplex_relations	11	18
9606	Homo sapiens	Primates	NFKB	NFKB	NFKB2	4791	famplex_relations	11	18
9606	Homo sapiens	Primates	RBP-J	RBP-J	RBPJ	3516	ncbigene_synonym	11	18
9606	Homo sapiens	Primates	CCL20	CCL20	CCL20	6364	ncbigene_symbol	11	18
