word	source	identifier
lactone	MESH	D007783
2-keto-3-deoxy	MESH	D007651
xylonate	MESH	C583633
semialdehyde	MESH	C009338
1-13C	MESH	C513342
Xylonate	MESH	C583633
Glyoxylate	MESH	D006038
Glycolaldehyde	MESH	C010972
Glyceraldehyde-3-P	MESH	D005985
Acetyl-CoA	MESH	D000105
Pyruvate	MESH	D011773
Citrate	MESH	C102006
Oxaloacetate	MESH	D010071
Alanine	MESH	D000409
2-P-D-glycerate	MESH	C509251
2-oxoglutarate	MESH	C029743
Glutamate		
Glutamine	MESH	C578860
Valine	MESH	C521924
Lysine	MESH	C114808
Succinyl-CoA	MESH	C012046
Proline	MESH	C489032
