organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
7227	Drosophila melanogaster	Invertebrates	Fe3+	FE3	hoip	44173	ncbigene_synonym	9	10
7227	Drosophila melanogaster	Invertebrates	Tf	TF	tf	252813	ncbigene_symbol	9	10
7227	Drosophila melanogaster	Invertebrates	n-SMase	NSMASE	nSMase	38396	ncbigene_symbol	9	10
7227	Drosophila melanogaster	Invertebrates	SM	SM	sm	37254	ncbigene_symbol	9	10
7227	Drosophila melanogaster	Invertebrates	Cer	CER	cer	37229	ncbigene_symbol	9	10
7227	Drosophila melanogaster	Invertebrates	Cer	CER	cer	37229	ncbigene_synonym	9	10
7227	Drosophila melanogaster	Invertebrates	Fe3	FE3	hoip	44173	ncbigene_synonym	9	10
7227	Drosophila melanogaster	Invertebrates	SPT	SPT	Spt	35889	ncbigene_symbol	9	10
7227	Drosophila melanogaster	Invertebrates	SPT	SPT	lace	34910	ncbigene_synonym	9	10
7227	Drosophila melanogaster	Invertebrates	SPT	SPT	Spt	35889	ncbigene_synonym	9	10
7227	Drosophila melanogaster	Invertebrates	SPT	SPT	en	36240	ncbigene_synonym	9	10
7227	Drosophila melanogaster	Invertebrates	SPT	SPT	Spt-I	36448	ncbigene_synonym	9	10
7227	Drosophila melanogaster	Invertebrates	SPT	SPT	srp	41944	ncbigene_synonym	9	10
7227	Drosophila melanogaster	Invertebrates	Sph	SPH	sph	44867	ncbigene_symbol	9	10
7227	Drosophila melanogaster	Invertebrates	Sph	SPH	CG5390	34383	ncbigene_synonym	9	10
7227	Drosophila melanogaster	Invertebrates	Sph	SPH	slow-phase	47732	ncbigene_synonym	9	10
7227	Drosophila melanogaster	Invertebrates	SK1	SK1	Sk1	32089	ncbigene_symbol	9	10
7227	Drosophila melanogaster	Invertebrates	SK1	SK1	Sk1	32089	ncbigene_synonym	9	10
7227	Drosophila melanogaster	Invertebrates	CDase	CDASE	CDase	43618	ncbigene_symbol	9	10
7227	Drosophila melanogaster	Invertebrates	CDase	CDASE	CDase	43618	ncbigene_synonym	9	10
7227	Drosophila melanogaster	Invertebrates	HEPH	HEPH	heph	48571	ncbigene_symbol	9	10
7227	Drosophila melanogaster	Invertebrates	HEPH	HEPH	heph	48571	ncbigene_synonym	9	10
10090	Mus musculus	Rodents	n-SMase	NSMASE	Smpd2	20598	ncbigene_synonym	3	6
10090	Mus musculus	Rodents	SPT	SPT	Spt	111363	ncbigene_symbol	3	6
10090	Mus musculus	Rodents	SPT	SPT	Agxt	11611	ncbigene_synonym	3	6
10090	Mus musculus	Rodents	Sph	SPH	Spta1	20739	ncbigene_synonym	3	6
10090	Mus musculus	Rodents	SK1	SK1	Sphk1	20698	ncbigene_synonym	3	6
10090	Mus musculus	Rodents	SK1	SK1	Papss1	23971	ncbigene_synonym	3	6
10090	Mus musculus	Rodents	SK1	SK1	Kcnn1	84036	ncbigene_synonym	3	6
10090	Mus musculus	Rodents	SK1	SK1	Skn1	103985	ncbigene_synonym	3	6
10090	Mus musculus	Rodents	OH	OH	oh	18299	ncbigene_symbol	3	6
10090	Mus musculus	Rodents	HEPH	HEPH	Heph	15203	ncbigene_symbol	3	6
