word	mesh	match	name	chebi
teruloyl hexose	mesh:D006601	Hexoses	hexose	chebi:18133
ferulic acid	mesh:C004999	NA	NA	NA
4-O-hexcside	mesh:D013481	Superoxides	superoxide	chebi:18421
sinapic acid	mesh:C073734	NA	NA	NA
4-0-hexoside	mesh:C063832	NA	NA	NA
phenylalanine	mesh:C119108	Leu-Phe	leucyl-phenylalanine	chebi:73585
OMe	mesh:C091723	NA	NA	NA
Dcoumaric acid	mesh:D000596	NA	NA	NA
CSE cafeic acid	NA	NA	NA	NA
sinapic	mesh:C073734	NA	NA	NA
pcoumaroyl C3H	mesh:C543495	NA	NA	NA
pcoumaroyl	NA	NA	NA	NA
caffeoyl	mesh:C058645	NA	NA	NA
feruloyl	mesh:C119167	feruloyl-CoA	feruloyl-CoA	chebi:14261
sinapoyl	mesh:C080229	NA	NA	NA
quinic acid	mesh:D011801	NA	NA	NA
syringyl lactic acid	mesh:D019344	NA	NA	NA
hexoside	NA	NA	NA	NA
dihydroferulic acid	mesh:C520807	dihydroferulic acid	dihydroferulic acid	chebi:86612
pcoumaraldehyde	NA	NA	NA	NA
conferaldehyde	NA	NA	NA	NA
sinapaldehyde	mesh:C075386	NA	NA	NA
dhydroferulo acid	mesh:D000596	NA	NA	NA
dihydrosinapic acid	mesh:D000596	NA	NA	NA
dihydroconiferaldahyde	NA	NA	NA	NA
dihydrosinapaidehyde	NA	NA	NA	NA
Oligolignol hexosides	NA	NA	NA	NA
G(8-5)G 9-0-hexoside	mesh:C540769	NA	NA	NA
G8-0-4G 9-0-hexoside	mesh:C493306	NA	NA	NA
alcohol	mesh:D000431	Ethanol	ethanol	chebi:16236
coniferyl aloohol	mesh:C010559	coniferol	coniferyl alcohol	chebi:17745
sinapyl alcohol	mesh:C496130	NA	NA	NA
S(8-0-4)S(8-5)G	mesh:C039415	NA	NA	NA
8-041S	mesh:C012630	NA	NA	NA
8-0-4S	mesh:C039415	NA	NA	NA
