word	mesh	match	name	chebi
Mevalonic acid	mesh:D008798	NA	NA	NA
Cholesterol	mesh:D002784	Cholesterol	cholesterol	chebi:16113
17ahydroxy	mesh:C006022	NA	NA	NA
pregnenolone	mesh:D011284	Pregnenolone	pregnenolone	chebi:16581
Dehydroepiandrosterone	mesh:D003687	Dehydroepiandrosterone	dehydroepiandrosterone	chebi:28689
DHEA	mesh:D003687	Dehydroepiandrosterone	dehydroepiandrosterone	chebi:28689
Pregnenolone	mesh:D011284	Pregnenolone	pregnenolone	chebi:16581
Androstenediol	mesh:D015114	Androstenediol	androst-5-ene-3beta,17beta-diol	chebi:2710
38-hydroxy A5-steroid	mesh:D013256	Steroids	steroid	chebi:35341
progesterone	mesh:D011374	Progesterone	progesterone	chebi:17026
Progesterone	mesh:D011374	Progesterone	progesterone	chebi:17026
Androstenedione	mesh:D000735	Androstenedione	androst-4-ene-3,17-dione	chebi:16422
Testosterone	mesh:D013739	Testosterone	testosterone	chebi:17347
Dihydrotestosterone	mesh:D013196	Dihydrotestosterone	17beta-hydroxy-5alpha-androstan-3-one	chebi:16330
Estrone	mesh:D004970	Estrone	estrone	chebi:17263
Estradiol	mesh:D004958	Estradiol	17beta-estradiol	chebi:16469
3B-diol	mesh:C518382	NA	NA	NA
