organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	FGFR	FGFR	FGFR1	2260	famplex_relations	6	6	11
9606	Homo sapiens	Primates	FGFR	FGFR	FGFR2	2263	famplex_relations	6	6	11
9606	Homo sapiens	Primates	FGFR	FGFR	FGFR3	2261	famplex_relations	6	6	11
9606	Homo sapiens	Primates	FGFR	FGFR	FGFR4	2264	famplex_relations	6	6	11
9606	Homo sapiens	Primates	FGFR	FGFR	FGFRL1	53834	famplex_relations	6	6	11
9606	Homo sapiens	Primates	PDGFR,FGFR	PDGFR	PDGFRB	5159	ncbigene_synonym	6	6	11
9606	Homo sapiens	Primates	PDGFR,FGFR	PDGFR	PDGFRA	5156	famplex_relations	6	6	11
9606	Homo sapiens	Primates	NUAK2	NUAK2	NUAK2	81788	ncbigene_symbol	6	6	11
9606	Homo sapiens	Primates	YAP	YAP	YAP1	10413	ncbigene_synonym	6	6	11
9606	Homo sapiens	Primates	MST	MST	MAP3K10	4294	ncbigene_synonym	6	6	11
9606	Homo sapiens	Primates	MST	MST	MPST	4357	ncbigene_synonym	6	6	11
9606	Homo sapiens	Primates	MST	MST	TAM	8205	ncbigene_synonym	6	6	11
9606	Homo sapiens	Primates	MST	MST	MSTO1	55154	ncbigene_synonym	6	6	11
9606	Homo sapiens	Primates	LATS	LATS	LATS1	9113	famplex_relations	6	6	11
9606	Homo sapiens	Primates	LATS	LATS	LATS2	26524	famplex_relations	6	6	11
9606	Homo sapiens	Primates	EGFR	EGFR	EGFR	1956	ncbigene_symbol	6	6	11
9606	Homo sapiens	Primates	TEGFR,ERBB3	ERBB3	ERBB3	2065	ncbigene_symbol	6	6	11
9606	Homo sapiens	Primates	NRG1)	NRG1	NRG1	3084	ncbigene_symbol	6	6	11
9606	Homo sapiens	Primates	(HBEGF,	HBEGF	HBEGF	1839	ncbigene_symbol	6	6	11
9606	Homo sapiens	Primates	PDGF-B	PDGFB	PDGFB	5155	ncbigene_symbol	6	6	11
