word	mesh	match	name	chebi
Na	mesh:D012964	Sodium	sodium-23 atom	chebi:52634
Ga	mesh:C043055	NA	NA	NA
TCR	mesh:D017260	NA	NA	NA
O ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
Phosphatidylositol	NA	NA	NA	NA
NAADP	mesh:C024376	nicotinic acid-adenine dinucleotide phosphate	NAADP	chebi:76072
TCP	mesh:C030066	N-Acetyltranylcypromine	N-acetyl-tranylcypromine	chebi:166479
O NADH	mesh:D009243	NAD	NAD(+)	chebi:15846
adenine nucleotide	mesh:D000227	Adenine Nucleotides	adenosine phosphate	chebi:22256
K02183	mesh:D011188	Potassium	potassium atom	chebi:26216
phosphatidylinositol	mesh:D010716	Phosphatidylinositols	1-phosphatidyl-1D-myo-inositol	chebi:16749
nitric-oxide	mesh:D009569	Nitric Oxide	nitric oxide	chebi:16480
K13242	mesh:D011188	Potassium	potassium atom	chebi:26216
K04851	mesh:D011188	Potassium	potassium atom	chebi:26216
calcium	mesh:D002118	Calcium	calcium atom	chebi:22984
K04515	mesh:D011188	Potassium	potassium atom	chebi:26216
