organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	Wnt	WNT	WNT1	7471	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT2	7472	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT2B	7482	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT3	7473	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT3A	89780	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT4	54361	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT6	7475	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT7A	7476	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT7B	7477	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT8A	7478	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT8B	7479	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT9A	7483	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT9B	7484	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT10A	80326	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT10B	7480	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT11	7481	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT16	51384	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT5A	7474	famplex_relations	3	13	9
9606	Homo sapiens	Primates	Wnt	WNT	WNT5B	81029	famplex_relations	3	13	9
9606	Homo sapiens	Primates	TCF4	TCF4	TCF4	6925	ncbigene_symbol	3	13	9
9606	Homo sapiens	Primates	TCF4	TCF4	TCF7L2	6934	ncbigene_synonym	3	13	9
9606	Homo sapiens	Primates	WISP2	WISP2	CCN5	8839	ncbigene_synonym	3	13	9
9606	Homo sapiens	Primates	ZNF423	ZNF423	ZNF423	23090	ncbigene_symbol	3	13	9
9606	Homo sapiens	Primates	DaKCBP/p300	P300	EP300	2033	ncbigene_synonym	3	13	9
9606	Homo sapiens	Primates	CBP	CBP	CREBBP	1387	ncbigene_synonym	3	13	9
9606	Homo sapiens	Primates	CBP	CBP	EIF4E	1977	ncbigene_synonym	3	13	9
9606	Homo sapiens	Primates	CBP	CBP	OPN1LW	5956	ncbigene_synonym	3	13	9
9606	Homo sapiens	Primates	CBP	CBP	PAG1	55824	ncbigene_synonym	3	13	9
9606	Homo sapiens	Primates	CBP	CBP	PCBP4	57060	ncbigene_synonym	3	13	9
9606	Homo sapiens	Primates	DaK	DAK	TKFC	26007	ncbigene_synonym	3	13	9
9606	Homo sapiens	Primates	LRP	LRP	RPSA	3921	ncbigene_synonym	3	13	9
9606	Homo sapiens	Primates	LRP	LRP	LRP1	4035	ncbigene_synonym	3	13	9
9606	Homo sapiens	Primates	LRP	LRP	PTPRA	5786	ncbigene_synonym	3	13	9
9606	Homo sapiens	Primates	LRP	LRP	MVP	9961	ncbigene_synonym	3	13	9
9606	Homo sapiens	Primates	B-catenin	CTNNB1	CTNNB1	1499	ncbigene_symbol	3	13	9
7955	Danio rerio	Vertebrates	TCF4	TCF4	tcf4	100526651	ncbigene_symbol	3	4	6
7955	Danio rerio	Vertebrates	TCF4	TCF4	tcf7l2	30510	ncbigene_synonym	3	4	6
7955	Danio rerio	Vertebrates	WISP2	WISP2	ccn5	100007759	ncbigene_synonym	3	4	6
7955	Danio rerio	Vertebrates	ZNF423	ZNF423	znf423	566696	ncbigene_symbol	3	4	6
7955	Danio rerio	Vertebrates	DaK	DAK	tkfc	793926	ncbigene_synonym	3	4	6
7955	Danio rerio	Vertebrates	LRP	LRP	cby1	326875	ncbigene_synonym	3	4	6
7955	Danio rerio	Vertebrates	B-catenin	CTNNB1	ctnnb1	30265	ncbigene_symbol	3	4	6
