word	mesh	match	name	chebi
Pyruvate	mesh:D011773	NA	NA	NA
Valine	mesh:C521924	NA	NA	NA
Phosphopantothenate	mesh:C011988	(R)-4'-phosphopantothenic acid	phosphopantothenic acid	chebi:15905
Dihydropyrimidine	mesh:C586280	NA	NA	NA
Alanine	mesh:D000409	Alanine	alanine	chebi:16449
Glutamate	NA	NA	NA	NA
Coenzyme A	mesh:D003067	Coenzymes	coenzyme	chebi:23354
CoA	mesh:C065987	NA	NA	NA
Aspartate	NA	NA	NA	NA
L-Arginosuccinate	mesh:C025076	NA	NA	NA
Citrate	mesh:C102006	NA	NA	NA
Arginine	mesh:D001127	Arginine Vasopressin	argipressin	chebi:34543
Glutamine	mesh:C578860	Arg-Gln	arginyl-glutamine	chebi:73813
proline	mesh:C489032	Ile-Pro-Pro	isoleucyl-prolyl-proline	chebi:158716
Ornithine	mesh:C008973	NA	NA	NA
Urea	mesh:D014508	Urea	urea	chebi:16199
