organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
9606	Homo sapiens	Primates	cycling	CYCLING	CCNG1	900	famplex_relations	16	28
9606	Homo sapiens	Primates	cycling	CYCLING	CCNG2	901	famplex_relations	16	28
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB1	7040	ncbigene_synonym	16	28
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB1	7040	famplex_relations	16	28
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB2	7042	famplex_relations	16	28
9606	Homo sapiens	Primates	TGF-B	TGFB	TGFB3	7043	famplex_relations	16	28
9606	Homo sapiens	Primates	SCF	SCF	KITLG	4254	ncbigene_synonym	16	28
9606	Homo sapiens	Primates	TPO	TPO	TPO	7173	ncbigene_symbol	16	28
9606	Homo sapiens	Primates	TPO	TPO	THPO	7066	ncbigene_synonym	16	28
9606	Homo sapiens	Primates	AKT	AKT	AKT1	207	ncbigene_synonym	16	28
9606	Homo sapiens	Primates	AKT	AKT	AKT1	207	famplex_relations	16	28
9606	Homo sapiens	Primates	AKT	AKT	AKT2	208	famplex_relations	16	28
9606	Homo sapiens	Primates	AKT	AKT	AKT3	10000	famplex_relations	16	28
9606	Homo sapiens	Primates	MTORC1	MTORC1	MTOR	2475	famplex_relations	16	28
9606	Homo sapiens	Primates	MTORC1	MTORC1	RPTOR	57521	famplex_relations	16	28
9606	Homo sapiens	Primates	RAS	RAS	KRAS	3845	famplex_relations	16	28
9606	Homo sapiens	Primates	RAS	RAS	HRAS	3265	famplex_relations	16	28
9606	Homo sapiens	Primates	RAS	RAS	NRAS	4893	famplex_relations	16	28
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CA	5290	ncbigene_synonym	16	28
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CB	5291	ncbigene_synonym	16	28
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CD	5293	ncbigene_synonym	16	28
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CG	5294	ncbigene_synonym	16	28
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CA	5290	famplex_relations	16	28
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CB	5291	famplex_relations	16	28
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CD	5293	famplex_relations	16	28
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CG	5294	famplex_relations	16	28
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R3	8503	famplex_relations	16	28
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R4	30849	famplex_relations	16	28
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R5	23533	famplex_relations	16	28
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R6	146850	famplex_relations	16	28
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R1	5295	famplex_relations	16	28
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R2	5296	famplex_relations	16	28
9606	Homo sapiens	Primates	ATM	ATM	ATM	472	ncbigene_symbol	16	28
