organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
10090	Mus musculus	Rodents	ISG15	ISG15	Isg15	100038882	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	TLR3	TLR3	Tlr3	142980	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	PKR	PKR	Eif2ak2	19106	ncbigene_synonym	17	15	29
10090	Mus musculus	Rodents	LGP2	LGP2	Dhx58	80861	ncbigene_synonym	17	15	29
10090	Mus musculus	Rodents	RIG-I	RIG-I	Rigi	230073	ncbigene_synonym	17	15	29
10090	Mus musculus	Rodents	DUB	DUB	Zup1	72580	ncbigene_synonym	17	15	29
10090	Mus musculus	Rodents	TLR7	TLR7	Tlr7	170743	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	TLR8	TLR8	Tlr8	170744	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	MYD88	MYD88	Myd88	17874	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	MAVS	MAVS	Mavs	228607	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	TRAF6	TRAF6	Traf6	22034	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	TRAF3	TRAF3	Traf3	22031	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	TANK	TANK	Tank	21353	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	oE	OE	oe	18287	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	IRF1	IRF1	Irf1	16362	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	NEMO	NEMO	Ikbkg	16151	ncbigene_synonym	17	15	29
10090	Mus musculus	Rodents	IKKB	IKKB	Ikbkb	16150	ncbigene_synonym	17	15	29
10090	Mus musculus	Rodents	IKKA	IKKA	Chuk	12675	ncbigene_synonym	17	15	29
10090	Mus musculus	Rodents	IKKE	IKKE	Ikbke	56489	ncbigene_synonym	17	15	29
10090	Mus musculus	Rodents	TBK1/IKKE	TBK1	Tbk1	56480	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	МАРЗК	AP	ap	11763	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	МАРЗК	APK	Apk	109950	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	IRF3	IRF3	Irf3	54131	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	IRF5	IRF5	Irf5	27056	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	IRF7	IRF7	Irf7	54123	ncbigene_symbol	17	15	29
10090	Mus musculus	Rodents	AP-1	AP-1	Jun	16476	ncbigene_synonym	17	15	29
10090	Mus musculus	Rodents	IL-1,TNFA,etc.	TNFA	Tnf	21926	ncbigene_synonym	17	15	29
10090	Mus musculus	Rodents	IL-1,TNFA,etc.	IL-1	Il1	111343	ncbigene_synonym	17	15	29
10090	Mus musculus	Rodents	TRIF	TRIF	Rnf138	56515	ncbigene_synonym	17	15	29
10090	Mus musculus	Rodents	TRIF	TRIF	Trim69	70928	ncbigene_synonym	17	15	29
10090	Mus musculus	Rodents	TRIF	TRIF	Ticam1	106759	ncbigene_synonym	17	15	29
10090	Mus musculus	Rodents	TRIF	TRIF	Ticam2	225471	ncbigene_synonym	17	15	29
9925	Capra hircus	Mammals	ISG15	ISG15	ISG15	102169982	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	TLR3	TLR3	TLR3	102182757	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	LGP2	LGP2	DHX58	102183820	ncbigene_synonym	16	3	18
9925	Capra hircus	Mammals	RIG-I	RIGI	RIGI	102183788	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	TLR7	TLR7	TLR7	100860934	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	TLR7	TLR7	TLR7	102171227	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	TLR8	TLR8	TLR8	100860909	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	MYD88	MYD88	MYD88	102174883	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	MAVS	MAVS	MAVS	102178286	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	TRAF6	TRAF6	TRAF6	102172830	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	TRAF3	TRAF3	TRAF3	102171742	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	TANK	TANK	TANK	102185959	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	IRF1	IRF1	IRF1	102188583	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	TBK1/IKKE	TBK1	TBK1	102181474	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	IRF3	IRF3	IRF3	102171811	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	IRF5	IRF5	IRF5	102177495	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	IRF7	IRF7	IRF7	106503773	ncbigene_symbol	16	3	18
9925	Capra hircus	Mammals	IL-1,TNFA,etc.	TNFA	TNF	100861232	ncbigene_synonym	16	3	18
9925	Capra hircus	Mammals	TRIF	TRIF	TICAM1	102170774	ncbigene_synonym	16	3	18
9913	Bos taurus	Mammals	ISG15	ISG15	ISG15	281871	ncbigene_symbol	15	6	21
9913	Bos taurus	Mammals	TLR3	TLR3	TLR3	281535	ncbigene_symbol	15	6	21
9913	Bos taurus	Mammals	PKR	PKR	EIF2AK2	347700	ncbigene_synonym	15	6	21
9913	Bos taurus	Mammals	LGP2	LGP2	DHX58	508378	ncbigene_synonym	15	6	21
9913	Bos taurus	Mammals	RIG-I	RIGI	RIGI	504760	ncbigene_symbol	15	6	21
9913	Bos taurus	Mammals	DUB	DUB	ZUP1	533724	ncbigene_synonym	15	6	21
9913	Bos taurus	Mammals	TLR7	TLR7	TLR7	493686	ncbigene_symbol	15	6	21
9913	Bos taurus	Mammals	TLR8	TLR8	TLR8	532262	ncbigene_symbol	15	6	21
9913	Bos taurus	Mammals	MYD88	MYD88	MYD88	444881	ncbigene_symbol	15	6	21
9913	Bos taurus	Mammals	MAVS	MAVS	MAVS	618508	ncbigene_symbol	15	6	21
9913	Bos taurus	Mammals	TRAF6	TRAF6	TRAF6	539124	ncbigene_symbol	15	6	21
9913	Bos taurus	Mammals	TRAF3	TRAF3	TRAF3	506182	ncbigene_symbol	15	6	21
9913	Bos taurus	Mammals	TANK	TANK	TANK	539513	ncbigene_symbol	15	6	21
9913	Bos taurus	Mammals	IRF1	IRF1	IRF1	789216	ncbigene_symbol	15	6	21
9913	Bos taurus	Mammals	TBK1/IKKE	TBK1	TBK1	533141	ncbigene_symbol	15	6	21
9913	Bos taurus	Mammals	IRF3	IRF3	IRF3	516979	ncbigene_symbol	15	6	21
9913	Bos taurus	Mammals	IRF5	IRF5	IRF5	615340	ncbigene_symbol	15	6	21
9913	Bos taurus	Mammals	IRF7	IRF7	IRF7	100125591	ncbigene_symbol	15	6	21
9913	Bos taurus	Mammals	IFN	IFN	IFNA16	510726	ncbigene_synonym	15	6	21
9913	Bos taurus	Mammals	IL-1,TNFA,etc.	TNFA	TNF	280943	ncbigene_synonym	15	6	21
9913	Bos taurus	Mammals	TRIF	TRIF	TICAM1	510427	ncbigene_synonym	15	6	21
9940	Ovis aries	Mammals	ISG15	ISG15	ISG15	443057	ncbigene_symbol	15	3	18
9940	Ovis aries	Mammals	TLR3	TLR3	TLR3	554258	ncbigene_symbol	15	3	18
9940	Ovis aries	Mammals	LGP2	LGP2	DHX58	101121528	ncbigene_synonym	15	3	18
9940	Ovis aries	Mammals	RIG-I	RIGI	RIGI	101107257	ncbigene_symbol	15	3	18
9940	Ovis aries	Mammals	TLR7	TLR7	TLR7	554254	ncbigene_symbol	15	3	18
9940	Ovis aries	Mammals	TLR8	TLR8	TLR8	554259	ncbigene_symbol	15	3	18
9940	Ovis aries	Mammals	MYD88	MYD88	MYD88	678682	ncbigene_symbol	15	3	18
9940	Ovis aries	Mammals	MAVS	MAVS	MAVS	101119838	ncbigene_symbol	15	3	18
9940	Ovis aries	Mammals	TRAF6	TRAF6	TRAF6	101107132	ncbigene_symbol	15	3	18
9940	Ovis aries	Mammals	TRAF3	TRAF3	TRAF3	100036758	ncbigene_symbol	15	3	18
9940	Ovis aries	Mammals	TANK	TANK	TANK	101108632	ncbigene_symbol	15	3	18
9940	Ovis aries	Mammals	IRF1	IRF1	IRF1	443136	ncbigene_symbol	15	3	18
9940	Ovis aries	Mammals	IKKB	IKKB	IKBKB	780484	ncbigene_synonym	15	3	18
9940	Ovis aries	Mammals	TBK1/IKKE	TBK1	TBK1	101110830	ncbigene_symbol	15	3	18
9940	Ovis aries	Mammals	IRF3	IRF3	IRF3	780485	ncbigene_symbol	15	3	18
9940	Ovis aries	Mammals	IRF5	IRF5	IRF5	101105408	ncbigene_symbol	15	3	18
9940	Ovis aries	Mammals	IRF7	IRF7	IRF7	101103683	ncbigene_symbol	15	3	18
9940	Ovis aries	Mammals	IL-1,TNFA,etc.	TNFA	TNF	443540	ncbigene_synonym	15	3	18
9606	Homo sapiens	Primates	ISG15	ISG15	ISG15	9636	ncbigene_symbol	14	20	29
9606	Homo sapiens	Primates	TLR3	TLR3	TLR3	7098	ncbigene_symbol	14	20	29
9606	Homo sapiens	Primates	PKR	PKR	EIF2AK2	5610	ncbigene_synonym	14	20	29
9606	Homo sapiens	Primates	LGP2	LGP2	DHX58	79132	ncbigene_synonym	14	20	29
9606	Homo sapiens	Primates	VRNA	VRNA	VTRNA1-1	56664	ncbigene_synonym	14	20	29
9606	Homo sapiens	Primates	RIG-I	RIG-I	RIGI	23586	ncbigene_synonym	14	20	29
9606	Homo sapiens	Primates	DUB	DUB	ZUP1	221302	ncbigene_synonym	14	20	29
9606	Homo sapiens	Primates	TLR7	TLR7	TLR7	51284	ncbigene_symbol	14	20	29
9606	Homo sapiens	Primates	TLR8	TLR8	TLR8	51311	ncbigene_symbol	14	20	29
9606	Homo sapiens	Primates	MYD88	MYD88	MYD88	4615	ncbigene_symbol	14	20	29
9606	Homo sapiens	Primates	MAVS	MAVS	MAVS	57506	ncbigene_symbol	14	20	29
