word	source	identifier
Glucose	MESH	D005947
Glucose-6-phosphate	MESH	D019298
NaAsO	MESH	D012964
NaF	MESH	D012964
ATP	MESH	D000255
Phosphoglucose	MESH	C028071
Fructose-6-phosphate	MESH	C027618
Pyruvate	MESH	D011773
Acetyl-CoA	MESH	D000105
Fructose-1,6-biphosphate	MESH	C027652
Glyceraldehide-3-phosphate	MESH	D010710
Citric Acid	MESH	D019343
Giyceraldehyde phosphate	MESH	D010710
1,3-Biphosphate glycerate	MESH	C015891
Phosphoglycerate	MESH	C008885
NaN	MESH	D012964
2-Phosphoglycerate	MESH	C008885
Phosphoenolpyruvate	MESH	D010728
