organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
10116	Rattus norvegicus	Rodents	IL-1B	IL1B	Il1b	24494	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	TNF-a	TNF-A	Tnf	24835	ncbigene_synonym	22	34
10116	Rattus norvegicus	Rodents	TLR4?	TLR4	Tlr4	29260	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	IL-6	IL6	Il6	24498	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	MyD88	MYD88	Myd88	301059	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	PTH	PTH	Pth	24694	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	IL-6R	IL6R	Il6r	24499	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	PTH1R	PTH1R	Pth1r	56813	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	TRAF6	TRAF6	Traf6	311245	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	FGFR1	FGFR1	Fgfr1	79114	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	FGFR1	FGFR1	Fgfr1	79114	ncbigene_synonym	22	34
10116	Rattus norvegicus	Rodents	FGF2	FGF2	Fgf2	54250	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	FGF2	FGF2	Fgf2	54250	ncbigene_synonym	22	34
10116	Rattus norvegicus	Rodents	PI3K	PI3K	Pik3cg	298947	ncbigene_synonym	22	34
10116	Rattus norvegicus	Rodents	STAT3	STAT3	Stat3	25125	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	NF-KB	NF-KB	Nfkb1	81736	ncbigene_synonym	22	34
10116	Rattus norvegicus	Rodents	HIF-1a	HIF1A	Hif1a	29560	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	HIF-1a	HIF1A	Hif1a	29560	ncbigene_synonym	22	34
10116	Rattus norvegicus	Rodents	AKT	AKT	Akt1	24185	ncbigene_synonym	22	34
10116	Rattus norvegicus	Rodents	FGF23	FGF23	Fgf23	170583	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	VDR	VDR	Vdr	24873	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	PIT2	PIT2	Slc20a2	29502	ncbigene_synonym	22	34
10116	Rattus norvegicus	Rodents	NE-B	NEB	Neb	311029	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	Cal-	CAL	Fblim1	362650	ncbigene_synonym	22	34
10116	Rattus norvegicus	Rodents	Cal-	CA1	Car1	310218	ncbigene_synonym	22	34
10116	Rattus norvegicus	Rodents	Cal-	CAI	Car1	310218	ncbigene_synonym	22	34
10116	Rattus norvegicus	Rodents	FOXO1	FOXO1	Foxo1	84482	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	NFAT	NFAT	Nfat5	307820	ncbigene_synonym	22	34
10116	Rattus norvegicus	Rodents	PKC	PKC	Prkcg	24681	ncbigene_synonym	22	34
10116	Rattus norvegicus	Rodents	Orai1	ORAI1	Orai1	304496	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	FAK	FAK	Ptk2	25614	ncbigene_synonym	22	34
10116	Rattus norvegicus	Rodents	ALK	ALK	Alk	266802	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	TGF-B	TGFB	Tgfb1	59086	ncbigene_synonym	22	34
10116	Rattus norvegicus	Rodents	IGF1R	IGF1R	Igf1r	25718	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	Phex	PHEX	Phex	25512	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	Dmp1	DMP1	Dmp1	25312	ncbigene_symbol	22	34
10116	Rattus norvegicus	Rodents	EGR1	EGR1	Egr1	24330	ncbigene_symbol	22	34
