organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
9606	Homo sapiens	Primates	RAS	RAS	KRAS	3845	famplex_relations	11	20
9606	Homo sapiens	Primates	RAS	RAS	HRAS	3265	famplex_relations	11	20
9606	Homo sapiens	Primates	RAS	RAS	NRAS	4893	famplex_relations	11	20
9606	Homo sapiens	Primates	ZEB1	ZEB1	ZEB1	6935	ncbigene_symbol	11	20
9606	Homo sapiens	Primates	KB-1471A8.2	KB-1471A8.2	DEPTOR-AS1	121676927	ncbigene_synonym	11	20
9606	Homo sapiens	Primates	RAF	RAF	ZHX2	22882	ncbigene_synonym	11	20
9606	Homo sapiens	Primates	RAF	RAF	ARAF	369	famplex_relations	11	20
9606	Homo sapiens	Primates	RAF	RAF	BRAF	673	famplex_relations	11	20
9606	Homo sapiens	Primates	RAF	RAF	RAF1	5894	famplex_relations	11	20
9606	Homo sapiens	Primates	CDK4	CDK4	CDK4	1019	ncbigene_symbol	11	20
9606	Homo sapiens	Primates	МЕК	MEK	MAP2K7	5609	ncbigene_synonym	11	20
9606	Homo sapiens	Primates	МЕК	MEK	MAP2K1	5604	famplex_relations	11	20
9606	Homo sapiens	Primates	МЕК	MEK	MAP2K2	5605	famplex_relations	11	20
9606	Homo sapiens	Primates	UCA1	UCA1	UCA1	652995	ncbigene_symbol	11	20
9606	Homo sapiens	Primates	NEAT1	NEAT1	NEAT1	283131	ncbigene_symbol	11	20
9606	Homo sapiens	Primates	SIK2	SIK2	SIK2	23235	ncbigene_symbol	11	20
9606	Homo sapiens	Primates	SIK2	SIK2	SIK2	23235	ncbigene_synonym	11	20
9606	Homo sapiens	Primates	miR-4465	MIR4465	MIR4465	100616180	ncbigene_symbol	11	20
9606	Homo sapiens	Primates	EIF4G2	EIF4G2	EIF4G2	1982	ncbigene_symbol	11	20
9606	Homo sapiens	Primates	G2	G2	WARS1	7453	ncbigene_synonym	11	20
9606	Homo sapiens	Primates	SDHAP1	SDHAP1	SDHAP1	255812	ncbigene_symbol	11	20
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP1	834	famplex_relations	11	20
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP2	835	famplex_relations	11	20
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP4	837	famplex_relations	11	20
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP5	838	famplex_relations	11	20
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP6	839	famplex_relations	11	20
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP8	841	famplex_relations	11	20
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP9	842	famplex_relations	11	20
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP10	843	famplex_relations	11	20
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP12	100506742	famplex_relations	11	20
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP14	23581	famplex_relations	11	20
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP3	836	famplex_relations	11	20
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP7	840	famplex_relations	11	20
9606	Homo sapiens	Primates	АВC	ABC	ABCB6	10058	ncbigene_synonym	11	20
9606	Homo sapiens	Primates	miR-134	MIR-134	MIR134	406924	ncbigene_synonym	11	20
9606	Homo sapiens	Primates	Bcl2	BCL2	BCL2	596	ncbigene_symbol	11	20
9606	Homo sapiens	Primates	Bcl2	BCL2	BCL2	596	ncbigene_synonym	11	20
9606	Homo sapiens	Primates	Bak	BAK	BAK1	578	ncbigene_synonym	11	20
9606	Homo sapiens	Primates	Вах,Bak	BAK	BAK1	578	ncbigene_synonym	11	20
9606	Homo sapiens	Primates	LINC01118	LINC01118	LINC01118	388948	ncbigene_symbol	11	20
9606	Homo sapiens	Primates	LINCO0312	LINC00312	LINC00312	29931	ncbigene_symbol	11	20
