word	mesh	match	name	chebi
SAR245408	mesh:C581157	NA	NA	NA
NVP BLY719	mesh:C585539	NA	NA	NA
AZD5363	mesh:C575618	NA	NA	NA
AZD2014	mesh:C585537	NA	NA	NA
AZD8055	mesh:C546624	NA	NA	NA
Sapanisertib	NA	NA	NA	NA
Everolimus	mesh:C107135	NA	NA	NA
RADO01	mesh:C519584	NA	NA	NA
Temserolimus	NA	NA	NA	NA
Ridaforolimus	mesh:C515074	NA	NA	NA
Deforolimus	mesh:C515074	NA	NA	NA
AP23573	NA	NA	NA	NA
BEZ235	mesh:C531198	dactolisib	dactolisib	chebi:71952
GDC-0980	mesh:C569670	NA	NA	NA
PF05212384	mesh:C549060	NA	NA	NA
