organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
7227	Drosophila melanogaster	Invertebrates	MB	MB	mb	249737	ncbigene_symbol	6	1	6
7227	Drosophila melanogaster	Invertebrates	MB	MB	E(spl)mbeta-HLH	43152	ncbigene_synonym	6	1	6
7227	Drosophila melanogaster	Invertebrates	Ag	AG	ag	44501	ncbigene_symbol	6	1	6
7227	Drosophila melanogaster	Invertebrates	GC	GC	GC	38194	ncbigene_symbol	6	1	6
7227	Drosophila melanogaster	Invertebrates	PC	PC	Pc	40358	ncbigene_symbol	6	1	6
7227	Drosophila melanogaster	Invertebrates	PB	PB	pb	40826	ncbigene_symbol	6	1	6
7227	Drosophila melanogaster	Invertebrates	pre	PRE	pre	45348	ncbigene_symbol	6	1	6
9606	Homo sapiens	Primates	MB	MB	MB	4151	ncbigene_symbol	4	7	10
9606	Homo sapiens	Primates	GCB	GCB	GBA1	2629	ncbigene_synonym	4	7	10
9606	Homo sapiens	Primates	GCB	GCB	NPR2	4882	ncbigene_synonym	4	7	10
9606	Homo sapiens	Primates	GC	GC	GC	2638	ncbigene_symbol	4	7	10
9606	Homo sapiens	Primates	T-bet?	TBET	TBX21	30009	ncbigene_synonym	4	7	10
9606	Homo sapiens	Primates	PC	PC	PC	5091	ncbigene_symbol	4	7	10
9606	Homo sapiens	Primates	PB	PB	SMR3B	10879	ncbigene_synonym	4	7	10
9606	Homo sapiens	Primates	CD58	CD58	CD58	965	ncbigene_symbol	4	7	10
9606	Homo sapiens	Primates	PD-L1	PD-L1	CD274	29126	ncbigene_synonym	4	7	10
9606	Homo sapiens	Primates	PD-L2	PD-L2	PDCD1LG2	80380	ncbigene_synonym	4	7	10
9606	Homo sapiens	Primates	IL-10	IL-10	IL10	3586	ncbigene_synonym	4	7	10
