organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	(AASS)	AASS	AASS	10157	ncbigene_symbol	1	10	6
9606	Homo sapiens	Primates	(AAS)	AAS	FGD1	2245	ncbigene_synonym	1	10	6
9606	Homo sapiens	Primates	NADPH	NADPH	DECR1	1666	ncbigene_synonym	1	10	6
9606	Homo sapiens	Primates	(AAA)	AAA	APP	351	ncbigene_synonym	1	10	6
9606	Homo sapiens	Primates	(AAA)	AAA	AAAS	8086	ncbigene_synonym	1	10	6
9606	Homo sapiens	Primates	(AAA)	AAA	AAA1	100329167	ncbigene_synonym	1	10	6
9606	Homo sapiens	Primates	(PLP)	PLP	PLP1	5354	ncbigene_synonym	1	10	6
9606	Homo sapiens	Primates	(PLP)	PLP	PTHLH	5744	ncbigene_synonym	1	10	6
9606	Homo sapiens	Primates	(PLP)	PLP	PRDX5	25824	ncbigene_synonym	1	10	6
9606	Homo sapiens	Primates	(PLP)	PLP	PDXP	57026	ncbigene_synonym	1	10	6
9606	Homo sapiens	Primates	pate	PATE	PATE1	160065	ncbigene_synonym	1	10	6
7227	Drosophila melanogaster	Invertebrates	Ox	OX	ox	45401	ncbigene_symbol	3	8	5
7227	Drosophila melanogaster	Invertebrates	(AAA)	AAA	tRNA:Lys-TTT-1-1	3772008	ncbigene_synonym	3	8	5
7227	Drosophila melanogaster	Invertebrates	(AAA)	AAA	tRNA:Lys-TTT-2-4	3772033	ncbigene_synonym	3	8	5
7227	Drosophila melanogaster	Invertebrates	(AAA)	AAA	tRNA:Lys-TTT-2-1	3772125	ncbigene_synonym	3	8	5
7227	Drosophila melanogaster	Invertebrates	(AAA)	AAA	tRNA:Lys-TTT-2-2	3772333	ncbigene_synonym	3	8	5
7227	Drosophila melanogaster	Invertebrates	(AAA)	AAA	tRNA:Lys-TTT-2-5	3772413	ncbigene_synonym	3	8	5
7227	Drosophila melanogaster	Invertebrates	(AAA)	AAA	tRNA:Lys-TTT-2-3	3772688	ncbigene_synonym	3	8	5
7227	Drosophila melanogaster	Invertebrates	(PLP)	PLP	Plp	3772382	ncbigene_symbol	3	8	5
7227	Drosophila melanogaster	Invertebrates	CoA	COA	Coa	248135	ncbigene_symbol	3	8	5
7227	Drosophila melanogaster	Invertebrates	cycle	CYCLE	CycE	34924	ncbigene_synonym	3	8	5
7227	Drosophila melanogaster	Invertebrates	cycle	CYCLE	cyc	40162	ncbigene_synonym	3	8	5
