organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	LPS	LPS	IRF6	3664	ncbigene_synonym	5	5	8
9606	Homo sapiens	Primates	MDM2	MDM2	MDM2	4193	ncbigene_symbol	5	5	8
9606	Homo sapiens	Primates	p53	P53	TP53	7157	ncbigene_synonym	5	5	8
9606	Homo sapiens	Primates	p53	P53	TP63	8626	famplex_relations	5	5	8
9606	Homo sapiens	Primates	p53	P53	TP73	7161	famplex_relations	5	5	8
9606	Homo sapiens	Primates	G6PD	G6PD	G6PD	2539	ncbigene_symbol	5	5	8
9606	Homo sapiens	Primates	G6PD	G6PD	UBL4A	8266	ncbigene_synonym	5	5	8
9606	Homo sapiens	Primates	COX2	COX2	COX2	4513	ncbigene_symbol	5	5	8
9606	Homo sapiens	Primates	COX2	COX2	PTGS2	5743	ncbigene_synonym	5	5	8
9606	Homo sapiens	Primates	COX2	COX2	MTCO2P12	107075310	ncbigene_synonym	5	5	8
9606	Homo sapiens	Primates	SCO2	SCO2	SCO2	9997	ncbigene_symbol	5	5	8
9606	Homo sapiens	Primates	ТАС	TAC	TAC1	6863	famplex_relations	5	5	8
9606	Homo sapiens	Primates	ТАС	TAC	TAC3	6866	famplex_relations	5	5	8
9606	Homo sapiens	Primates	ТАС	TAC	TAC4	255061	famplex_relations	5	5	8
9606	Homo sapiens	Primates	LDHA	LDHA	LDHA	3939	ncbigene_symbol	5	5	8
7955	Danio rerio	Vertebrates	MDM2	MDM2	mdm2	30637	ncbigene_symbol	5	1	6
7955	Danio rerio	Vertebrates	p53	P53	tp53	30590	ncbigene_synonym	5	1	6
7955	Danio rerio	Vertebrates	G6PD	G6PD	g6pd	570579	ncbigene_symbol	5	1	6
7955	Danio rerio	Vertebrates	COX2	COX2	COX2	140540	ncbigene_symbol	5	1	6
7955	Danio rerio	Vertebrates	SCO2	SCO2	sco2	606683	ncbigene_symbol	5	1	6
7955	Danio rerio	Vertebrates	LDHA	LDHA	ldha	30496	ncbigene_symbol	5	1	6
