organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
3702	Arabidopsis thaliana	Plants and Fungi	PIF1	PIF1	PIL5	816538	ncbigene_synonym	7	8
3702	Arabidopsis thaliana	Plants and Fungi	RVE1	RVE1	RVE1	831595	ncbigene_symbol	7	8
3702	Arabidopsis thaliana	Plants and Fungi	(Voz1)	VOZ1	VOZ1	839752	ncbigene_symbol	7	8
3702	Arabidopsis thaliana	Plants and Fungi	GAI	GAI	GAI	838057	ncbigene_symbol	7	8
3702	Arabidopsis thaliana	Plants and Fungi	DAG1	DAG1	DAG1	825358	ncbigene_symbol	7	8
3702	Arabidopsis thaliana	Plants and Fungi	RGL2	RGL2	RGL2	821251	ncbigene_symbol	7	8
3702	Arabidopsis thaliana	Plants and Fungi	GA3OX1	GA3OX1	GA3OX1	838125	ncbigene_symbol	7	8
3702	Arabidopsis thaliana	Plants and Fungi	GA3OX2	GA3OX2	GA3OX2	844374	ncbigene_symbol	7	8
7227	Drosophila melanogaster	Invertebrates	Pr	PR	pr	35292	ncbigene_symbol	3	3
7227	Drosophila melanogaster	Invertebrates	PIF1	PIF1	Pif1	33567	ncbigene_symbol	3	3
7227	Drosophila melanogaster	Invertebrates	PIF1	PIF1	Pif1	33567	ncbigene_synonym	3	3
7227	Drosophila melanogaster	Invertebrates	PIF1	PIF1	Pif1B	3771985	ncbigene_synonym	3	3
7227	Drosophila melanogaster	Invertebrates	PIF1	PIF1	Pif1A	8674049	ncbigene_synonym	3	3
7227	Drosophila melanogaster	Invertebrates	GAI	GAI	Galphai	38765	ncbigene_symbol	3	3
7227	Drosophila melanogaster	Invertebrates	GAI	GAI	Galphai	38765	ncbigene_synonym	3	3
9606	Homo sapiens	Primates	PIF1	PIF1	PIF1	80119	ncbigene_symbol	3	3
9606	Homo sapiens	Primates	DAG1	DAG1	DAG1	1605	ncbigene_symbol	3	3
9606	Homo sapiens	Primates	RGL2	RGL2	RGL2	5863	ncbigene_symbol	3	3
