organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	ACE-2	ACE2	ACE2	59272	ncbigene_symbol	4	5	10
9606	Homo sapiens	Primates	ADAM-17	ADAM17	ADAM17	6868	ncbigene_symbol	4	5	10
9606	Homo sapiens	Primates	IL-1B	IL1B	IL1B	3553	ncbigene_symbol	4	5	10
9606	Homo sapiens	Primates	INF	INF	CBLIF	2694	ncbigene_synonym	4	5	10
9606	Homo sapiens	Primates	MHC	MHC	HLA-C	3107	ncbigene_synonym	4	5	10
9606	Homo sapiens	Primates	INF-a	INFA	IFNA17	3451	ncbigene_synonym	4	5	10
9606	Homo sapiens	Primates	FCN1	FCN1	FCN1	2219	ncbigene_symbol	4	5	10
9606	Homo sapiens	Primates	Mac	MAC	C5	727	famplex_relations	4	5	10
9606	Homo sapiens	Primates	Mac	MAC	C6	729	famplex_relations	4	5	10
9606	Homo sapiens	Primates	Mac	MAC	C7	730	famplex_relations	4	5	10
9606	Homo sapiens	Primates	Mac	MAC	C8A	731	famplex_relations	4	5	10
9606	Homo sapiens	Primates	Mac	MAC	C8B	732	famplex_relations	4	5	10
9606	Homo sapiens	Primates	Mac	MAC	C8G	733	famplex_relations	4	5	10
9606	Homo sapiens	Primates	Mac	MAC	C9	735	famplex_relations	4	5	10
9606	Homo sapiens	Primates	Storm	STORM	LINC00689	154822	ncbigene_synonym	4	5	10
9606	Homo sapiens	Primates	RBC	RBC	RN7SL263P	106480993	ncbigene_synonym	4	5	10
10090	Mus musculus	Rodents	ACE-2	ACE2	Ace2	70008	ncbigene_symbol	4	5	9
10090	Mus musculus	Rodents	ADAM-17	ADAM17	Adam17	11491	ncbigene_symbol	4	5	9
10090	Mus musculus	Rodents	IL-1B	IL-1B	Il1b	16176	ncbigene_synonym	4	5	9
10090	Mus musculus	Rodents	INF	INF	Cblif	14603	ncbigene_synonym	4	5	9
10090	Mus musculus	Rodents	MHCII	MHCII	H2	111364	ncbigene_synonym	4	5	9
10090	Mus musculus	Rodents	INF-a	INF-A	Ifnl3	338374	ncbigene_synonym	4	5	9
10090	Mus musculus	Rodents	FCN1	FCN1	Fcna	14133	ncbigene_synonym	4	5	9
10090	Mus musculus	Rodents	Fc-R	FCR	Fcr	109615	ncbigene_symbol	4	5	9
10090	Mus musculus	Rodents	Всel	BEL	Bel	100035747	ncbigene_symbol	4	5	9
9544	Macaca mulatta	Primates	ACE-2	ACE2	ACE2	712790	ncbigene_symbol	3	1	4
9544	Macaca mulatta	Primates	ADAM-17	ADAM17	ADAM17	694429	ncbigene_symbol	3	1	4
9544	Macaca mulatta	Primates	IL-1B	IL1B	IL1B	704701	ncbigene_symbol	3	1	4
9544	Macaca mulatta	Primates	FCN1	FCN1	LOC712405	712405	ncbigene_synonym	3	1	4
7227	Drosophila melanogaster	Invertebrates	ACE-2	ACE-2	Ace	41625	ncbigene_synonym	3	7	8
7227	Drosophila melanogaster	Invertebrates	ADAM-17	ADAM17	Tace	43558	ncbigene_synonym	3	7	8
7227	Drosophila melanogaster	Invertebrates	INF	INF	if	32661	ncbigene_synonym	3	7	8
7227	Drosophila melanogaster	Invertebrates	MHCII	MHC2	Myo61F	38153	ncbigene_synonym	3	7	8
7227	Drosophila melanogaster	Invertebrates	MHC	MHC	Mhc	35007	ncbigene_symbol	3	7	8
7227	Drosophila melanogaster	Invertebrates	MHC	MHC	zip	38001	ncbigene_synonym	3	7	8
7227	Drosophila melanogaster	Invertebrates	NAbs	NAB	nab	3346237	ncbigene_symbol	3	7	8
7227	Drosophila melanogaster	Invertebrates	Mac	MAC	yip7	38680	ncbigene_synonym	3	7	8
7227	Drosophila melanogaster	Invertebrates	Mac	MAC	mAcon1	44149	ncbigene_synonym	3	7	8
7227	Drosophila melanogaster	Invertebrates	Всel	BEL	bel	45826	ncbigene_symbol	3	7	8
