organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
9606	Homo sapiens	Primates	mir-1193	MIR1193	MIR1193	100422837	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	IGF1R	IGF1R	IGF1R	3480	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	MMP2	MMP2	MMP2	4313	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	MMP2	MMP2	MMP2	4313	ncbigene_synonym	20	23
9606	Homo sapiens	Primates	mir-379	MIR-379	MIR379	494328	ncbigene_synonym	20	23
9606	Homo sapiens	Primates	MMP9	MMP9	MMP9	4318	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	MMP9	MMP9	MMP9	4318	ncbigene_synonym	20	23
9606	Homo sapiens	Primates	PIK3RI	PIK3RI	PIK3R3	8503	famplex_relations	20	23
9606	Homo sapiens	Primates	PIK3RI	PIK3RI	PIK3R4	30849	famplex_relations	20	23
9606	Homo sapiens	Primates	PIK3RI	PIK3RI	PIK3R5	23533	famplex_relations	20	23
9606	Homo sapiens	Primates	PIK3RI	PIK3RI	PIK3R6	146850	famplex_relations	20	23
9606	Homo sapiens	Primates	PIK3RI	PIK3RI	PIK3R1	5295	famplex_relations	20	23
9606	Homo sapiens	Primates	PIK3RI	PIK3RI	PIK3R2	5296	famplex_relations	20	23
9606	Homo sapiens	Primates	GAD2	GAD2	GAD2	2572	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	SMAD3	SMAD3	SMAD3	4088	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	mir-760*	MIR-760	MIR760	100126348	ncbigene_synonym	20	23
9606	Homo sapiens	Primates	AGO2	AGO2	AGO2	27161	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	-IDH1	IDH1	IDH1	3417	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	ATF4	ATF4	ATF4	468	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	mir-185	MIR-185	MIR185	406961	ncbigene_synonym	20	23
9606	Homo sapiens	Primates	BMP2.	BMP2	BMP2	650	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	Smad2	SMAD2	SMAD2	4087	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	Smad2/3	SMAD2	SMAD2	4087	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	Smad2/3	SMAD3	SMAD3	4088	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	PKD1	PKD1	PKD1	5310	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	SFRP1	SFRP1	SFRP1	6422	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	RUNX2	RUNX2	RUNX2	860	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	mir-338	MIR-338	MIR338	442906	ncbigene_synonym	20	23
9606	Homo sapiens	Primates	SP1	SP1	SP1	6667	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	SP1	SP1	PSG1	5669	ncbigene_synonym	20	23
9606	Homo sapiens	Primates	SP1	SP1	DAND5	199699	ncbigene_synonym	20	23
9606	Homo sapiens	Primates	NOG	NOG	NOG	9241	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	mir-3960.	MIR3960	MIR3960	100616250	ncbigene_symbol	20	23
9606	Homo sapiens	Primates	HOXA2	HOXA2	HOXA2	3199	ncbigene_symbol	20	23
