word	mesh	match	name	chebi
Arsenic trioxide	mesh:C006632	NA	NA	NA
Ibuprofen	mesh:D007052	Ibuprofen	ibuprofen	chebi:5855
Afatinib	mesh:C522924	NA	NA	NA
Artesunate	mesh:C039726	NA	NA	NA
Ritonavir	mesh:D019438	Ritonavir	ritonavir	chebi:45409
Baricitinib	mesh:C000596027	NA	NA	NA
Colchicine	mesh:D003078	Colchicine	(S)-colchicine	chebi:27882
Erlotinib	mesh:C400278	NA	NA	NA
Dexamethasone	mesh:D003907	Dexamethasone	dexamethasone	chebi:41879
Hydroxychloroquine	mesh:D006886	Hydroxychloroquine	hydroxychloroquine	chebi:5801
Tofacitinib	mesh:C479163	tofacitinib	tofacitinib	chebi:71200
Famotidine	mesh:D015738	Famotidine	famotidine	chebi:4975
Gefitinib	mesh:C419708	NA	NA	NA
Ruxolitinib	mesh:C540383	ruxolitinib	INCB018424	chebi:66919
Dipyridamole	mesh:D004176	Dipyridamole	dipyridamole	chebi:4653
Acalabrutinib	NA	NA	NA	NA
