word	mesh	match	name	chebi
Amino acids	mesh:D000596	NA	NA	NA
CO2	mesh:D002245	Carbon Dioxide	carbon dioxide	chebi:16526
amine	mesh:D000588	amine	Amines	chebi:32952
sulfur	mesh:D013455	Sulfur	polysulfur	chebi:17909
amino acids	mesh:D000596	NA	NA	NA
alcohol	mesh:D000431	Ethanol	ethanol	chebi:16236
amino acids	mesh:D000596	NA	NA	NA
Aromatic amino acids	mesh:D065105	Aromatic Amino Acid Decarboxylase Inhibitors	EC 4.1.1.28 (aromatic-L-amino-acid decarboxylase) inhibitor	chebi:59321
Indoles	mesh:C030374	NA	NA	NA
phenolics	mesh:C017616	NA	NA	NA
