organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
9606	Homo sapiens	Primates	†FGF23	FGF23	FGF23	8074	ncbigene_symbol	5	6
9606	Homo sapiens	Primates	FGF23	FGF23	FGF23	8074	ncbigene_symbol	5	6
9606	Homo sapiens	Primates	PLCY	PLCG	PLCG1	5335	famplex_relations	5	6
9606	Homo sapiens	Primates	PLCY	PLCG	PLCG2	5336	famplex_relations	5	6
9606	Homo sapiens	Primates	FGFR4	FGFR4	FGFR4	2264	ncbigene_symbol	5	6
9606	Homo sapiens	Primates	NFAT	NFAT	NFATC1	4772	famplex_relations	5	6
9606	Homo sapiens	Primates	NFAT	NFAT	NFATC2	4773	famplex_relations	5	6
9606	Homo sapiens	Primates	NFAT	NFAT	NFATC3	4775	famplex_relations	5	6
9606	Homo sapiens	Primates	NFAT	NFAT	NFATC4	4776	famplex_relations	5	6
9606	Homo sapiens	Primates	NFAT	NFAT	NFAT5	10725	famplex_relations	5	6
9606	Homo sapiens	Primates	VDR	VDR	VDR	7421	ncbigene_symbol	5	6
9606	Homo sapiens	Primates	VDR	VDR	CYP27B1	1594	ncbigene_synonym	5	6
9606	Homo sapiens	Primates	(FGFR4	FGFR4	FGFR4	2264	ncbigene_symbol	5	6
9606	Homo sapiens	Primates	RAS	RAS	KRAS	3845	famplex_relations	5	6
9606	Homo sapiens	Primates	RAS	RAS	HRAS	3265	famplex_relations	5	6
9606	Homo sapiens	Primates	RAS	RAS	NRAS	4893	famplex_relations	5	6
