word	mesh	match	name	chebi
fumarate	mesh:D005650	NA	NA	NA
succinate	mesh:D013386	Succinates	succinate	chebi:26806
Phosphoenolpyruvate	mesh:D010728	Phosphoenolpyruvate	phosphoenolpyruvate	chebi:18021
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
pyruvate	mesh:D011773	NA	NA	NA
Succinyl-CoA	mesh:C012046	NA	NA	NA
oxaloacetate	mesh:D010071	NA	NA	NA
Lactate	mesh:D019344	NA	NA	NA
acetyl-CoA	mesh:D000105	Acetyl Coenzyme A	acetyl-CoA	chebi:15351
glyoxylate	mesh:D006038	Glyoxylates	glyoxylates	chebi:51704
Formate	mesh:D005561	NA	NA	NA
oxoglutarate	mesh:D007656	NA	NA	NA
citrate	mesh:C102006	NA	NA	NA
Acetate	mesh:D000085	Acetates	acetate ester	chebi:47622
isocitrate	mesh:D007523	NA	NA	NA
Ethanol	mesh:D000431	Ethanol	ethanol	chebi:16236
Alcohol	mesh:D000431	Ethanol	ethanol	chebi:16236
Acetaldehyde	mesh:D000079	Acetaldehyde	acetaldehyde	chebi:15343
Phosphate acetyl	mesh:C011632	NA	NA	NA
Acetate	mesh:D000085	Acetates	acetate ester	chebi:47622
Citrate	mesh:C102006	NA	NA	NA
Aconitate	mesh:D000156	Aconitic Acid	aconitic acid	chebi:22211
Isocitrate	mesh:D007523	NA	NA	NA
Isocitrate	mesh:D007523	NA	NA	NA
L-lactate	mesh:D019344	NA	NA	NA
Pyruvate formate	mesh:D005561	NA	NA	NA
Formate	mesh:D005561	NA	NA	NA
Pyruvate	mesh:D011773	NA	NA	NA
2-oxoglutarate	mesh:C029743	NA	NA	NA
Succinyl-CoA	mesh:C012046	NA	NA	NA
Succinate	mesh:D013386	Succinates	succinate	chebi:26806
quinone	mesh:D011809	Quinones	quinone	chebi:36141
Pyruvate	mesh:D011773	NA	NA	NA
