organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	FBP	FBP	fbp	948753	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	PfkA	PFKA	pfkA	948412	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	Pgi	PGI	pgi	948535	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	FbaA	FBAA	fbaA	947415	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	GapA	GAPA	gapA	947679	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	Pgk	PGK	pgk	947414	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	Pgm	PGM	pgm	945271	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	Eno	ENO	eno	945032	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	Pyka	PYKA	pykA	946527	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	CitA	CITA	dpiB	945233	ncbigene_synonym	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	CitB	CITB	dpiA	947008	ncbigene_synonym	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	lcd	ICD	icd	945702	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	IspG	ISPG	ispG	946991	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	IspF	ISPF	ispF	945057	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	IspE	ISPE	ispE	945774	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	Dxs	DXS	dxs	945060	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	IspD	ISPD	ispD	948269	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	IspC	ISPC	dxr	945019	ncbigene_synonym	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	IspH	ISPH	ispH	944777	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	Idi	IDI	idi	949020	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	Mdh	MDH	mdh	947854	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	IspA	ISPA	ispA	945064	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	FDP	FDP	fbp	948753	ncbigene_synonym	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	SucA	SUCA	sucA	945303	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	FumC	FUMC	fumC	946147	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	SucC	SUCC	sucC	945312	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	SucD	SUCD	sucD	945314	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	SdhA	SDHA	sdhA	945402	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	SdhB	SDHB	sdhB	945300	ncbigene_symbol	26	30
511145	Escherichia coli str. K-12 substr. MG1655	Bacteria	Sdhc	SDHC	sdhC	945316	ncbigene_symbol	26	30
