organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
7227	Drosophila melanogaster	Invertebrates	caspase9	CASPASE9	Dronc	39173	ncbigene_synonym	2	8	7
7227	Drosophila melanogaster	Invertebrates	caspase3	CASPASE3	Decay	42008	ncbigene_synonym	2	8	7
7227	Drosophila melanogaster	Invertebrates	ERK1	ERK1	rl	3354888	ncbigene_synonym	2	8	7
7227	Drosophila melanogaster	Invertebrates	PI3K	PI3K	Pi3K21B	33203	ncbigene_synonym	2	8	7
7227	Drosophila melanogaster	Invertebrates	PI3K	PI3K	Pi3K59F	37733	ncbigene_synonym	2	8	7
7227	Drosophila melanogaster	Invertebrates	PI3K	PI3K	Pi3K68D	39329	ncbigene_synonym	2	8	7
7227	Drosophila melanogaster	Invertebrates	PI3K	PI3K	Pi3K92E	42446	ncbigene_synonym	2	8	7
7227	Drosophila melanogaster	Invertebrates	PTEN	PTEN	Pten	43991	ncbigene_symbol	2	8	7
7227	Drosophila melanogaster	Invertebrates	AKT	AKT	Akt	41957	ncbigene_symbol	2	8	7
7227	Drosophila melanogaster	Invertebrates	mTORC1	MTORC1	Crtc	39970	ncbigene_synonym	2	8	7
9606	Homo sapiens	Primates	caspase	CASPASE	CASP1	834	famplex_relations	2	7	8
9606	Homo sapiens	Primates	caspase	CASPASE	CASP2	835	famplex_relations	2	7	8
9606	Homo sapiens	Primates	caspase	CASPASE	CASP4	837	famplex_relations	2	7	8
9606	Homo sapiens	Primates	caspase	CASPASE	CASP5	838	famplex_relations	2	7	8
9606	Homo sapiens	Primates	caspase	CASPASE	CASP6	839	famplex_relations	2	7	8
9606	Homo sapiens	Primates	caspase	CASPASE	CASP8	841	famplex_relations	2	7	8
9606	Homo sapiens	Primates	caspase	CASPASE	CASP9	842	famplex_relations	2	7	8
9606	Homo sapiens	Primates	caspase	CASPASE	CASP10	843	famplex_relations	2	7	8
9606	Homo sapiens	Primates	caspase	CASPASE	CASP12	100506742	famplex_relations	2	7	8
9606	Homo sapiens	Primates	caspase	CASPASE	CASP14	23581	famplex_relations	2	7	8
9606	Homo sapiens	Primates	caspase	CASPASE	CASP3	836	famplex_relations	2	7	8
9606	Homo sapiens	Primates	caspase	CASPASE	CASP7	840	famplex_relations	2	7	8
9606	Homo sapiens	Primates	TRPC6	TRPC6	TRPC6	7225	ncbigene_symbol	2	7	8
9606	Homo sapiens	Primates	ERK1	ERK1	MAPK3	5595	ncbigene_synonym	2	7	8
9606	Homo sapiens	Primates	ERK1/2	ERK2	MAPK1	5594	ncbigene_synonym	2	7	8
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CA	5290	ncbigene_synonym	2	7	8
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CB	5291	ncbigene_synonym	2	7	8
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CD	5293	ncbigene_synonym	2	7	8
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CG	5294	ncbigene_synonym	2	7	8
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R3	8503	famplex_relations	2	7	8
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R4	30849	famplex_relations	2	7	8
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R5	23533	famplex_relations	2	7	8
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R6	146850	famplex_relations	2	7	8
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R1	5295	famplex_relations	2	7	8
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R2	5296	famplex_relations	2	7	8
9606	Homo sapiens	Primates	PTEN	PTEN	PTEN	5728	ncbigene_symbol	2	7	8
9606	Homo sapiens	Primates	AKT	AKT	AKT1	207	ncbigene_synonym	2	7	8
9606	Homo sapiens	Primates	AKT	AKT	AKT2	208	famplex_relations	2	7	8
9606	Homo sapiens	Primates	AKT	AKT	AKT3	10000	famplex_relations	2	7	8
9606	Homo sapiens	Primates	mTORC1	MTORC1	MTOR	2475	famplex_relations	2	7	8
9606	Homo sapiens	Primates	mTORC1	MTORC1	RPTOR	57521	famplex_relations	2	7	8
