organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	FOXA1	FOXA1	FOXA1	3169	ncbigene_symbol	3	7	7
9606	Homo sapiens	Primates	PARP2	PARP2	PARP2	10038	ncbigene_symbol	3	7	7
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CA	5290	ncbigene_synonym	3	7	7
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CB	5291	ncbigene_synonym	3	7	7
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CD	5293	ncbigene_synonym	3	7	7
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CG	5294	ncbigene_synonym	3	7	7
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R3	8503	famplex_relations	3	7	7
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R4	30849	famplex_relations	3	7	7
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R5	23533	famplex_relations	3	7	7
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R6	146850	famplex_relations	3	7	7
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R1	5295	famplex_relations	3	7	7
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R2	5296	famplex_relations	3	7	7
9606	Homo sapiens	Primates	AKT	AKT	AKT1	207	ncbigene_synonym	3	7	7
9606	Homo sapiens	Primates	AKT	AKT	AKT2	208	famplex_relations	3	7	7
9606	Homo sapiens	Primates	AKT	AKT	AKT3	10000	famplex_relations	3	7	7
9606	Homo sapiens	Primates	VEGFR	VEGFR	KDR	3791	ncbigene_synonym	3	7	7
9606	Homo sapiens	Primates	VEGFR	VEGFR	FLT1	2321	famplex_relations	3	7	7
9606	Homo sapiens	Primates	VEGFR	VEGFR	FLT4	2324	famplex_relations	3	7	7
9606	Homo sapiens	Primates	PDGFR	PDGFR	PDGFRB	5159	ncbigene_synonym	3	7	7
9606	Homo sapiens	Primates	PDGFR	PDGFR	PDGFRA	5156	famplex_relations	3	7	7
9606	Homo sapiens	Primates	AR	AR	AR	367	ncbigene_symbol	3	7	7
7955	Danio rerio	Vertebrates	FOXA1	FOXA1	foxa1	30541	ncbigene_symbol	3	NA	3
7955	Danio rerio	Vertebrates	PARP2	PARP2	parp2	100007906	ncbigene_symbol	3	NA	3
7955	Danio rerio	Vertebrates	AR	AR	ar	100005148	ncbigene_symbol	3	NA	3
