word	type	identifier
Tyrosine	Chemical	NA
Lactate	Chemical	MESH:D019344
NADP NADPH	Chemical	MESH:D009249
Fructose 1,6-biphosphate	Chemical	MESH:C027652
3-Phosphoglycerate Serine	Chemical	MESH:C005156
Phosphoenolpyruvate	Chemical	MESH:D010728
ADP	Chemical	MESH:D000244
ATP	Chemical	MESH:D000255
Pyruvate	Chemical	MESH:D011773
acetyl-CoA	Chemical	MESH:D000105
Ribose	Chemical	MESH:D012266
5-phosphate	Chemical	MESH:D010710
carbon	Chemical	MESH:D002244
carbon	Chemical	MESH:D002244
TCA	Chemical	MESH:C000589078
