organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
7227	Drosophila melanogaster	Invertebrates	(and	AND	CkIIbeta	32132	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	(and	AND	Andorra	32798	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	(and	AND	Anp	43595	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	(and	AND	Acam	44913	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	GPRS	GPRS	gprs	36862	ncbigene_symbol	12	35	18
7227	Drosophila melanogaster	Invertebrates	(AMY)	AMY	amy	250484	ncbigene_symbol	12	35	18
7227	Drosophila melanogaster	Invertebrates	(AMY)	AMY	Amy-d	36932	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	(AMY)	AMY	Amy-p	47764	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	CREB	CREB	CrebB	32817	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	CREB	CREB	CrebA	39682	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	CP	CP	cp	45277	ncbigene_symbol	12	35	18
7227	Drosophila melanogaster	Invertebrates	(CRB)	CRB	crb	42896	ncbigene_symbol	12	35	18
7227	Drosophila melanogaster	Invertebrates	(CRB)	CRB	cr-b	248177	ncbigene_symbol	12	35	18
7227	Drosophila melanogaster	Invertebrates	CCP	CCP	Ccp84Ag	40819	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	CCP	CCP	Ccp84Af	40820	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	CCP	CCP	Ccp84Ae	40821	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	CCP	CCP	Ccp84Ad	40822	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	CCP	CCP	Ccp84Ac	40823	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	CCP	CCP	Ccp84Ab	40824	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	CCP	CCP	Ccp84Aa	40825	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	We	WE	we	249881	ncbigene_symbol	12	35	18
7227	Drosophila melanogaster	Invertebrates	ed	ED	ed	33619	ncbigene_symbol	12	35	18
7227	Drosophila melanogaster	Invertebrates	wees	WEE	Wee1	33965	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	mills	MILI	Alk	53425	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	Acas	ACA	tRNA:Thr-TGT-1-1	3771902	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	Acas	ACA	tRNA:Thr-TGT-2-1	3771937	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	Acas	ACA	tRNA:Thr-TGT-2-2	3772144	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	Acas	ACA	tRNA:Thr-TGT-2-5	3772291	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	Acas	ACA	tRNA:Thr-TGT-2-4	19835230	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	Acas	ACA	tRNA:Thr-TGT-2-3	19836221	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	PRI	PRI	Pri	47191	ncbigene_symbol	12	35	18
7227	Drosophila melanogaster	Invertebrates	PRI	PRI	Arr2	38993	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	PRI	PRI	tal-2A	7354376	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	PRI	PRI	tal-AA	7354377	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	PRI	PRI	tal-3A	7354378	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	PRI	PRI	tal-1A	7354381	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	KO	KO	ko	40330	ncbigene_symbol	12	35	18
7227	Drosophila melanogaster	Invertebrates	SL	SL	sl	32601	ncbigene_symbol	12	35	18
7227	Drosophila melanogaster	Invertebrates	(CN)	CN	cn	35724	ncbigene_symbol	12	35	18
7227	Drosophila melanogaster	Invertebrates	Gap	GAP	Gapdh2	32545	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	Gap	GAP	CdGAPr	35267	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	Gap	GAP	Gapdh1	35728	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	Gap	GAP	RasGAP1	39158	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	Gap	GAP	ArfGAP1	39417	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	(HIP)	HIP	HIP	318211	ncbigene_symbol	12	35	18
7227	Drosophila melanogaster	Invertebrates	(HIP)	HIP	HIP-R	31335	ncbigene_synonym	12	35	18
7227	Drosophila melanogaster	Invertebrates	(HIP)	HIP	HP4	38887	ncbigene_synonym	12	35	18
9606	Homo sapiens	Primates	miR-4328	MIR4328	MIR4328	100422932	ncbigene_symbol	10	16	21
9606	Homo sapiens	Primates	ADAMTS18	ADAMTS18	ADAMTS18	170692	ncbigene_symbol	10	16	21
9606	Homo sapiens	Primates	THBS1	THBS1	THBS1	7057	ncbigene_symbol	10	16	21
9606	Homo sapiens	Primates	SYT9	SYT9	SYT9	143425	ncbigene_symbol	10	16	21
