organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
10090	Mus musculus	Rodents	AKL	AKL	Kl	16591	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	SAA,	SAA	Saa	111345	ncbigene_symbol	7	14
10090	Mus musculus	Rodents	SAA,fMLF	SAA	Saa	111345	ncbigene_symbol	7	14
10090	Mus musculus	Rodents	PLC!	PLC	Hspg2	15530	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	TIP3	TIP3	Tip3	105463122	ncbigene_symbol	7	14
10090	Mus musculus	Rodents	Src	SRC	Src	20779	ncbigene_symbol	7	14
10090	Mus musculus	Rodents	AnxA1,	ANXA1	Anxa1	16952	ncbigene_symbol	7	14
10090	Mus musculus	Rodents	AnxA1,	ANXA1	Anxa1	16952	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	AnxA1,LXA4,RvD1	ANXA1	Anxa1	16952	ncbigene_symbol	7	14
10090	Mus musculus	Rodents	AnxA1,LXA4,RvD1	ANXA1	Anxa1	16952	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	Ras	RAS	ras	19412	ncbigene_symbol	7	14
10090	Mus musculus	Rodents	Ras	RAS	Hras	15461	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	Ras	RAS	Kras	16653	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	Ras	RAS	Rem1	19700	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	MEKK/RAF	MEKK	Map3k1	26401	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	MEKK/RAF	RAF	Zhx2	387609	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	RAF	RAF	Zhx2	387609	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	MEKK	MEKK	Map3k1	26401	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	ERK1	ERK1	Mapk3	26417	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	P38	P38	Crk	12928	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	P38	P38	Grap2	17444	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	P38	P38	Syp	20977	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	P38	P38	Mapk14	26416	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	P38	P38	Ahsa1	217737	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	IL-1B,	IL-1B	Il1b	16176	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	IL-6,	IL-6	Il6	16193	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	TNFa,IL-1B,IL-6,ROS,Bradykinin	IL-1B	Il1b	16176	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	TNFa,IL-1B,IL-6,ROS,Bradykinin	TNFA	Tnf	21926	ncbigene_synonym	7	14
10090	Mus musculus	Rodents	TNFa,	TNFA	Tnf	21926	ncbigene_synonym	7	14
10116	Rattus norvegicus	Rodents	GTP	GTP	Pck1	362282	ncbigene_synonym	5	8
10116	Rattus norvegicus	Rodents	Src	SRC	Src	83805	ncbigene_symbol	5	8
10116	Rattus norvegicus	Rodents	AnxA1,	ANXA1	Anxa1	25380	ncbigene_symbol	5	8
10116	Rattus norvegicus	Rodents	AnxA1,LXA4,RvD1	ANXA1	Anxa1	25380	ncbigene_symbol	5	8
10116	Rattus norvegicus	Rodents	ERK1	ERK1	Mapk3	50689	ncbigene_synonym	5	8
10116	Rattus norvegicus	Rodents	P38	P38	Mapk14	81649	ncbigene_synonym	5	8
10116	Rattus norvegicus	Rodents	IL-1B,	IL1B	Il1b	24494	ncbigene_symbol	5	8
10116	Rattus norvegicus	Rodents	IL-6,	IL6	Il6	24498	ncbigene_symbol	5	8
10116	Rattus norvegicus	Rodents	TNFa,IL-1B,IL-6,ROS,Bradykinin	TNFA	Tnf	24835	ncbigene_synonym	5	8
10116	Rattus norvegicus	Rodents	TNFa,	TNFA	Tnf	24835	ncbigene_synonym	5	8
9606	Homo sapiens	Primates	SAA,	SAA	SAA1	6288	ncbigene_synonym	4	15
9606	Homo sapiens	Primates	SAA,	SAA	SAA2	6289	ncbigene_synonym	4	15
9606	Homo sapiens	Primates	SAA,	SAA	SAA1	6288	famplex_relations	4	15
9606	Homo sapiens	Primates	SAA,	SAA	SAA2	6289	famplex_relations	4	15
9606	Homo sapiens	Primates	SAA,	SAA	SAA4	6291	famplex_relations	4	15
9606	Homo sapiens	Primates	SAA,fMLF	SAA	SAA1	6288	ncbigene_synonym	4	15
9606	Homo sapiens	Primates	SAA,fMLF	SAA	SAA2	6289	ncbigene_synonym	4	15
9606	Homo sapiens	Primates	SAA,fMLF	SAA	SAA1	6288	famplex_relations	4	15
9606	Homo sapiens	Primates	SAA,fMLF	SAA	SAA2	6289	famplex_relations	4	15
9606	Homo sapiens	Primates	SAA,fMLF	SAA	SAA4	6291	famplex_relations	4	15
9606	Homo sapiens	Primates	PLC!	PLC	HSPG2	3339	ncbigene_synonym	4	15
9606	Homo sapiens	Primates	PLC!	PLC	PLCE1	51196	famplex_relations	4	15
9606	Homo sapiens	Primates	PLC!	PLC	PLCZ1	89869	famplex_relations	4	15
9606	Homo sapiens	Primates	PLC!	PLC	PLCB1	23236	famplex_relations	4	15
9606	Homo sapiens	Primates	PLC!	PLC	PLCB2	5330	famplex_relations	4	15
9606	Homo sapiens	Primates	PLC!	PLC	PLCB3	5331	famplex_relations	4	15
9606	Homo sapiens	Primates	PLC!	PLC	PLCB4	5332	famplex_relations	4	15
9606	Homo sapiens	Primates	PLC!	PLC	PLCD1	5333	famplex_relations	4	15
9606	Homo sapiens	Primates	PLC!	PLC	PLCD3	113026	famplex_relations	4	15
9606	Homo sapiens	Primates	PLC!	PLC	PLCD4	84812	famplex_relations	4	15
9606	Homo sapiens	Primates	PLC!	PLC	PLCG1	5335	famplex_relations	4	15
