organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9913	Bos taurus	Mammals	ATF6	ATF6	ATF6	530610	ncbigene_symbol	8	3	10
9913	Bos taurus	Mammals	PER	PER	PER	100307572	ncbigene_symbol	8	3	10
9913	Bos taurus	Mammals	PER	PER	PER	100308458	ncbigene_symbol	8	3	10
9913	Bos taurus	Mammals	HSP70	HSP70	HSPA1A	282254	ncbigene_synonym	8	3	10
9913	Bos taurus	Mammals	(ATF4	ATF4	ATF4	509107	ncbigene_symbol	8	3	10
9913	Bos taurus	Mammals	MTOR	MTOR	MTOR	100139219	ncbigene_symbol	8	3	10
9913	Bos taurus	Mammals	UNK	UNK	UNK	510090	ncbigene_symbol	8	3	10
9913	Bos taurus	Mammals	BECN1	BECN1	BECN1	527278	ncbigene_symbol	8	3	10
9913	Bos taurus	Mammals	Map1LC3b	MAP1LC3B	MAP1LC3B	408001	ncbigene_symbol	8	3	10
9913	Bos taurus	Mammals	PI3K	PI3K	PIK3CB	517948	ncbigene_synonym	8	3	10
9913	Bos taurus	Mammals	AKT	AKT	AKT1	280991	ncbigene_synonym	8	3	10
10090	Mus musculus	Rodents	NADPH	NADPH	Decr1	67460	ncbigene_synonym	7	9	15
10090	Mus musculus	Rodents	NF-kB	NF-KB	Nfkb1	18033	ncbigene_synonym	7	9	15
10090	Mus musculus	Rodents	ATF6	ATF6	Atf6	226641	ncbigene_symbol	7	9	15
10090	Mus musculus	Rodents	PER	PER	Hspg2	15530	ncbigene_synonym	7	9	15
10090	Mus musculus	Rodents	PER	PER	Per1	18626	ncbigene_synonym	7	9	15
10090	Mus musculus	Rodents	HSP70	HSP70	Hspa1b	15511	ncbigene_synonym	7	9	15
10090	Mus musculus	Rodents	(ATF4	ATF4	Atf4	11911	ncbigene_symbol	7	9	15
10090	Mus musculus	Rodents	MTOR	MTOR	Mtor	56717	ncbigene_symbol	7	9	15
10090	Mus musculus	Rodents	UNK	UNK	Unk	217331	ncbigene_symbol	7	9	15
10090	Mus musculus	Rodents	pr	PR	pr	19066	ncbigene_symbol	7	9	15
10090	Mus musculus	Rodents	LC3	LC3	Map1lc3a	66734	ncbigene_synonym	7	9	15
10090	Mus musculus	Rodents	BECN1	BECN1	Becn1	56208	ncbigene_symbol	7	9	15
10090	Mus musculus	Rodents	Map1LC3b	MAP1LC3B	Map1lc3b	67443	ncbigene_symbol	7	9	15
10090	Mus musculus	Rodents	JNK	JNK	Mapk8	26419	ncbigene_synonym	7	9	15
10090	Mus musculus	Rodents	PI3K	PI3K	Pik3r1	18708	ncbigene_synonym	7	9	15
10090	Mus musculus	Rodents	AKT	AKT	Akt1	11651	ncbigene_synonym	7	9	15
9940	Ovis aries	Mammals	NF-kB	NFKB	NFKB2	443119	ncbigene_synonym	7	4	10
