organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9940	Ovis aries	Mammals	B-Catenin	CTNNB1	CTNNB1	100294600	ncbigene_symbol	10	2	12
9940	Ovis aries	Mammals	SOST	SOST	SOST	101114123	ncbigene_symbol	10	2	12
9940	Ovis aries	Mammals	AKT	AKT	AKT1	100294652	ncbigene_synonym	10	2	12
9940	Ovis aries	Mammals	SMAD1/5/8	SMAD5	SMAD5	443172	ncbigene_symbol	10	2	12
9940	Ovis aries	Mammals	SMAD1/5/8	SMAD1	SMAD1	443229	ncbigene_symbol	10	2	12
9940	Ovis aries	Mammals	SMAD4	SMAD4	SMAD4	443171	ncbigene_symbol	10	2	12
9940	Ovis aries	Mammals	Runx2	RUNX2	RUNX2	101115489	ncbigene_symbol	10	2	12
9940	Ovis aries	Mammals	SMAD2/3	SMAD3	SMAD3	443169	ncbigene_symbol	10	2	12
9940	Ovis aries	Mammals	SMAD2/3	SMAD2	SMAD2	101114231	ncbigene_symbol	10	2	12
9940	Ovis aries	Mammals	Ca	CA	PRKACA	443094	ncbigene_synonym	10	2	12
9940	Ovis aries	Mammals	Receptors	RECEPTOR	RECEPTOR	443145	ncbigene_symbol	10	2	12
9940	Ovis aries	Mammals	COX-2	COX2	COX2	808252	ncbigene_symbol	10	2	12
10090	Mus musculus	Rodents	B-Catenin	CTNNB1	Ctnnb1	12387	ncbigene_symbol	9	18	20
10090	Mus musculus	Rodents	LRP	LRP	Lrp1	16971	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	LRP	LRP	Mvp	78388	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	LRP	LRP	Txlng	353170	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	SOST	SOST	Sost	74499	ncbigene_symbol	9	18	20
10090	Mus musculus	Rodents	Ras	RAS	ras	19412	ncbigene_symbol	9	18	20
10090	Mus musculus	Rodents	Ras	RAS	Hras	15461	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	Ras	RAS	Kras	16653	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	Ras	RAS	Rem1	19700	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	PI3K	PI3K	Pik3r1	18708	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	AKT	AKT	Akt1	11651	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	ERK	ERK	Ephb2	13844	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	ERK	ERK	Mapk1	26413	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	SMAD1/5/8	SMAD5	Smad5	17129	ncbigene_symbol	9	18	20
10090	Mus musculus	Rodents	SMAD1/5/8	SMAD8	Smad9	55994	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	SMAD1/5/8	SMAD1	Smad1	17125	ncbigene_symbol	9	18	20
10090	Mus musculus	Rodents	SMAD4	SMAD4	Smad4	17128	ncbigene_symbol	9	18	20
10090	Mus musculus	Rodents	Runx2	RUNX2	Runx2	12393	ncbigene_symbol	9	18	20
10090	Mus musculus	Rodents	TGF-B	TGFB	Tgfb1	21803	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	TGF-B	TGFB	Ltbp1	268977	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	SMAD2/3	SMAD3	Smad3	17127	ncbigene_symbol	9	18	20
10090	Mus musculus	Rodents	SMAD2/3	SMAD2	Smad2	17126	ncbigene_symbol	9	18	20
10090	Mus musculus	Rodents	P2	P2	Mpeg1	17476	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	OPG	OPG	Tnfrsf11b	18383	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	RANKL	RANKL	Tnfsf11	21943	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	COX-2	COX-2	Ptgs2	19225	ncbigene_synonym	9	18	20
10090	Mus musculus	Rodents	RANK	RANK	Tnfrsf11a	21934	ncbigene_synonym	9	18	20
10116	Rattus norvegicus	Rodents	Wnt/B-CateninPathway	WNT	Wnt2	114487	ncbigene_synonym	8	13	21
10116	Rattus norvegicus	Rodents	B-Catenin	CTNNB1	Ctnnb1	84353	ncbigene_symbol	8	13	21
10116	Rattus norvegicus	Rodents	LRP	LRP	Ptpra	25167	ncbigene_synonym	8	13	21
10116	Rattus norvegicus	Rodents	SOST	SOST	Sost	80722	ncbigene_symbol	8	13	21
10116	Rattus norvegicus	Rodents	IGF	IGF	Igf1	24482	ncbigene_synonym	8	13	21
10116	Rattus norvegicus	Rodents	PI3K	PI3K	Pik3cg	298947	ncbigene_synonym	8	13	21
10116	Rattus norvegicus	Rodents	AKT	AKT	Akt1	24185	ncbigene_synonym	8	13	21
10116	Rattus norvegicus	Rodents	ERK	ERK	Ephb1	24338	ncbigene_synonym	8	13	21
10116	Rattus norvegicus	Rodents	SMAD1/5/8	SMAD5	Smad5	59328	ncbigene_symbol	8	13	21
10116	Rattus norvegicus	Rodents	SMAD1/5/8	SMAD8	Smad9	85435	ncbigene_synonym	8	13	21
10116	Rattus norvegicus	Rodents	SMAD1/5/8	SMAD1	Smad1	25671	ncbigene_symbol	8	13	21
10116	Rattus norvegicus	Rodents	SMAD4	SMAD4	Smad4	50554	ncbigene_symbol	8	13	21
10116	Rattus norvegicus	Rodents	Runx2	RUNX2	Runx2	367218	ncbigene_symbol	8	13	21
10116	Rattus norvegicus	Rodents	TGF-B	TGFB	Tgfb1	59086	ncbigene_synonym	8	13	21
10116	Rattus norvegicus	Rodents	SMAD2/3	SMAD3	Smad3	25631	ncbigene_symbol	8	13	21
10116	Rattus norvegicus	Rodents	SMAD2/3	SMAD2	Smad2	29357	ncbigene_symbol	8	13	21
10116	Rattus norvegicus	Rodents	P2	P2	Mpeg1	64552	ncbigene_synonym	8	13	21
10116	Rattus norvegicus	Rodents	OPG	OPG	Tnfrsf11b	25341	ncbigene_synonym	8	13	21
10116	Rattus norvegicus	Rodents	RANKL	RANKL	Tnfsf11	117516	ncbigene_synonym	8	13	21
10116	Rattus norvegicus	Rodents	COX-2	COX-2	Ptgs2	29527	ncbigene_synonym	8	13	21
10116	Rattus norvegicus	Rodents	RANK	RANK	Tnfrsf11a	498206	ncbigene_synonym	8	13	21
9615	Canis lupus familiaris	Mammals	B-Catenin	CTNNB1	CTNNB1	477032	ncbigene_symbol	8	3	11
9615	Canis lupus familiaris	Mammals	LRP	LRP	MVP	479783	ncbigene_synonym	8	3	11
9615	Canis lupus familiaris	Mammals	SOST	SOST	SOST	490948	ncbigene_symbol	8	3	11
9615	Canis lupus familiaris	Mammals	SMAD1/5/8	SMAD5	SMAD5	481520	ncbigene_symbol	8	3	11
9615	Canis lupus familiaris	Mammals	SMAD1/5/8	SMAD1	SMAD1	475456	ncbigene_symbol	8	3	11
9615	Canis lupus familiaris	Mammals	SMAD4	SMAD4	SMAD4	476196	ncbigene_symbol	8	3	11
9615	Canis lupus familiaris	Mammals	Runx2	RUNX2	RUNX2	449531	ncbigene_symbol	8	3	11
9615	Canis lupus familiaris	Mammals	SMAD2/3	SMAD3	SMAD3	610902	ncbigene_symbol	8	3	11
9615	Canis lupus familiaris	Mammals	SMAD2/3	SMAD2	SMAD2	480144	ncbigene_symbol	8	3	11
9615	Canis lupus familiaris	Mammals	COX-2	COX-2	PTGS2	442942	ncbigene_synonym	8	3	11
9615	Canis lupus familiaris	Mammals	RANK	RANK	TNFRSF11A	483957	ncbigene_synonym	8	3	11
9986	Oryctolagus cuniculus	Mammals	B-Catenin	CTNNB1	CTNNB1	100125985	ncbigene_symbol	8	1	9
9986	Oryctolagus cuniculus	Mammals	SOST	SOST	SOST	100356489	ncbigene_symbol	8	1	9
9986	Oryctolagus cuniculus	Mammals	SMAD1/5/8	SMAD5	SMAD5	100342616	ncbigene_symbol	8	1	9
9986	Oryctolagus cuniculus	Mammals	SMAD1/5/8	SMAD1	SMAD1	100341544	ncbigene_symbol	8	1	9
9986	Oryctolagus cuniculus	Mammals	SMAD4	SMAD4	SMAD4	100342294	ncbigene_symbol	8	1	9
9986	Oryctolagus cuniculus	Mammals	Runx2	RUNX2	RUNX2	100008943	ncbigene_symbol	8	1	9
9986	Oryctolagus cuniculus	Mammals	SMAD2/3	SMAD3	SMAD3	100346303	ncbigene_symbol	8	1	9
9986	Oryctolagus cuniculus	Mammals	SMAD2/3	SMAD2	SMAD2	100359137	ncbigene_symbol	8	1	9
9986	Oryctolagus cuniculus	Mammals	COX-2	COX-2	PTGS2	100009248	ncbigene_synonym	8	1	9
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT1	7471	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT2	7472	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT2B	7482	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT3	7473	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT3A	89780	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT4	54361	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT6	7475	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT7A	7476	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT7B	7477	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT8A	7478	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT8B	7479	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT9A	7483	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT9B	7484	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT10A	80326	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT10B	7480	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT11	7481	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT16	51384	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT5A	7474	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Wnt/B-CateninPathway	WNT	WNT5B	81029	famplex_relations	5	22	23
9606	Homo sapiens	Primates	B-Catenin	CTNNB1	CTNNB1	1499	ncbigene_symbol	5	22	23
9606	Homo sapiens	Primates	LRP	LRP	RPSA	3921	ncbigene_synonym	5	22	23
9606	Homo sapiens	Primates	LRP	LRP	LRP1	4035	ncbigene_synonym	5	22	23
9606	Homo sapiens	Primates	LRP	LRP	PTPRA	5786	ncbigene_synonym	5	22	23
9606	Homo sapiens	Primates	LRP	LRP	MVP	9961	ncbigene_synonym	5	22	23
9606	Homo sapiens	Primates	SOST	SOST	SOST	50964	ncbigene_symbol	5	22	23
9606	Homo sapiens	Primates	IGF	IGF	IGF1	3479	ncbigene_synonym	5	22	23
9606	Homo sapiens	Primates	Ras	RAS	KRAS	3845	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Ras	RAS	HRAS	3265	famplex_relations	5	22	23
9606	Homo sapiens	Primates	Ras	RAS	NRAS	4893	famplex_relations	5	22	23
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CA	5290	ncbigene_synonym	5	22	23
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CB	5291	ncbigene_synonym	5	22	23
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CD	5293	ncbigene_synonym	5	22	23
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CG	5294	ncbigene_synonym	5	22	23
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R3	8503	famplex_relations	5	22	23
