organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9796	Equus caballus	Mammals	Ror1	ROR1	ROR1	100069962	ncbigene_symbol	15	NA	15
9796	Equus caballus	Mammals	Ror1/2	ROR2	ROR2	100064718	ncbigene_symbol	15	NA	15
9796	Equus caballus	Mammals	Wnt1-16	WNT16	WNT16	100071393	ncbigene_symbol	15	NA	15
9796	Equus caballus	Mammals	Wnt1-16	WNT2	WNT2	100056092	ncbigene_symbol	15	NA	15
9796	Equus caballus	Mammals	Wnt1-16	WNT11	WNT11	100064184	ncbigene_symbol	15	NA	15
9796	Equus caballus	Mammals	Wnt1-16	WNT6	WNT6	100058824	ncbigene_symbol	15	NA	15
9796	Equus caballus	Mammals	Wnt1-16	WNT4	WNT4	100071678	ncbigene_symbol	15	NA	15
9796	Equus caballus	Mammals	Wnt1-16	WNT3	WNT3	100049880	ncbigene_symbol	15	NA	15
9796	Equus caballus	Mammals	Wnt1-16	WNT1	WNT1	100058859	ncbigene_symbol	15	NA	15
9796	Equus caballus	Mammals	LRP5/6	LRP6	LRP6	100063409	ncbigene_symbol	15	NA	15
9796	Equus caballus	Mammals	LRP5/6	LRP5	LRP5	100147353	ncbigene_symbol	15	NA	15
9796	Equus caballus	Mammals	GSK3B	GSK3B	GSK3B	100061033	ncbigene_symbol	15	NA	15
9796	Equus caballus	Mammals	APC	APC	APC	100064431	ncbigene_symbol	15	NA	15
9796	Equus caballus	Mammals	Ca12	CA12	CA12	100054028	ncbigene_symbol	15	NA	15
9796	Equus caballus	Mammals	Daam1	DAAM1	DAAM1	100051203	ncbigene_symbol	15	NA	15
10090	Mus musculus	Rodents	Ror1	ROR1	Ror1	26563	ncbigene_symbol	14	11	24
10090	Mus musculus	Rodents	Ror1	ROR1	Rora	19883	ncbigene_synonym	14	11	24
10090	Mus musculus	Rodents	Ror1/2	ROR2	Ror2	26564	ncbigene_symbol	14	11	24
10090	Mus musculus	Rodents	Wnt1-16	WNT16	Wnt16	93735	ncbigene_symbol	14	11	24
10090	Mus musculus	Rodents	Wnt1-16	WNT2	Wnt2	22413	ncbigene_symbol	14	11	24
10090	Mus musculus	Rodents	Wnt1-16	WNT15	Wnt9b	22412	ncbigene_synonym	14	11	24
10090	Mus musculus	Rodents	Wnt1-16	WNT11	Wnt11	22411	ncbigene_symbol	14	11	24
10090	Mus musculus	Rodents	Wnt1-16	WNT13	Wnt2b	22414	ncbigene_synonym	14	11	24
10090	Mus musculus	Rodents	Wnt1-16	WNT6	Wnt6	22420	ncbigene_symbol	14	11	24
10090	Mus musculus	Rodents	Wnt1-16	WNT4	Wnt4	22417	ncbigene_symbol	14	11	24
10090	Mus musculus	Rodents	Wnt1-16	WNT3	Wnt3	22415	ncbigene_symbol	14	11	24
10090	Mus musculus	Rodents	Wnt1-16	WNT12	Wnt10b	22410	ncbigene_synonym	14	11	24
10090	Mus musculus	Rodents	Wnt1-16	WNT1	Wnt1	22408	ncbigene_symbol	14	11	24
10090	Mus musculus	Rodents	Wnt1-16	WNT14	Wnt9a	216795	ncbigene_synonym	14	11	24
10090	Mus musculus	Rodents	LRP5/6	LRP6	Lrp6	16974	ncbigene_symbol	14	11	24
10090	Mus musculus	Rodents	LRP5/6	LRP5	Lrp5	16973	ncbigene_symbol	14	11	24
