word	mesh	match	name	chebi
Carbohyrate	NA	NA	NA	NA
TCA	mesh:C000589078	NA	NA	NA
ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
L-arabinose	mesh:D001089	Arabinose	arabinose	chebi:22599
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
L-arabinose Fructose Disaccharides	mesh:D004187	Disaccharides	disaccharide	chebi:36233
carbohydrates	mesh:D002241	Carbohydrates	carbohydrate	chebi:16646
Monosaccharides	mesh:D009005	Monosaccharides	monosaccharide	chebi:35381
ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
Glucose Fructose	mesh:D005632	Fructose	fructose	chebi:28757
TCA	mesh:C000589078	NA	NA	NA
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
lactate	mesh:D019344	NA	NA	NA
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
sugar	mesh:D002241	Carbohydrates	carbohydrate	chebi:16646
sugar	mesh:D002241	Carbohydrates	carbohydrate	chebi:16646
sugars	mesh:D002241	Carbohydrates	carbohydrate	chebi:16646
Fructose Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Fructose16-2P Fructose-1-P	mesh:D005632	Fructose	fructose	chebi:28757
Glyceraldehyde	mesh:D005985	Glyceraldehyde	glyceraldehyde	chebi:5445
L-arabinose	mesh:D001089	Arabinose	arabinose	chebi:22599
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Acetyl COA Lactate	mesh:D019344	NA	NA	NA
ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
sucrose	mesh:D013395	Sucrose	sucrose	chebi:17992
Pyruvate Pyruvate	mesh:D011773	NA	NA	NA
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
L-arabinose	mesh:D001089	Arabinose	arabinose	chebi:22599
Fructose-1-P	mesh:D005632	Fructose	fructose	chebi:28757
L-arabinose	mesh:D001089	Arabinose	arabinose	chebi:22599
L-arabinose	mesh:D001089	Arabinose	arabinose	chebi:22599
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Steroid	mesh:D013256	Steroids	steroid	chebi:35341
Glucose Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
L-arabinose	mesh:D001089	Arabinose	arabinose	chebi:22599
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
L-arabinose	mesh:D001089	Arabinose	arabinose	chebi:22599
arabinose	mesh:D001089	Arabinose	arabinose	chebi:22599
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glucose Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Cholesterol	mesh:D002784	Cholesterol	cholesterol	chebi:16113
Fatty acid	mesh:D005227	Fatty Acids	fatty acid	chebi:35366
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Uric acid	mesh:D014527	NA	NA	NA
arabinose	mesh:D001089	Arabinose	arabinose	chebi:22599
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
L-arabinose	mesh:D001089	Arabinose	arabinose	chebi:22599
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
ACACA	NA	NA	NA	NA
L-arabinose	mesh:D001089	Arabinose	arabinose	chebi:22599
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Uric acid	mesh:D014527	NA	NA	NA
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
L-arabinose L-arabinose	mesh:D001089	Arabinose	arabinose	chebi:22599
L-arabinose	mesh:D001089	Arabinose	arabinose	chebi:22599
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
