organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	IL25	IL25	IL25	64806	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	IL25	IL25	MYDGF	56005	ncbigene_synonym	66	14	73
9606	Homo sapiens	Primates	TNFSF9	TNFSF9	TNFSF9	8744	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	OSMR	OSMR	OSMR	9180	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	IFNA21	IFNA21	IFNA21	3452	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	IL22	IL22	IL22	50616	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	CD27	CD27	CD27	939	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	CAT	CAT	CAT	847	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	CAT	CAT	CRAT	1384	ncbigene_synonym	66	14	73
9606	Homo sapiens	Primates	CAT	CAT	GLYAT	10249	ncbigene_synonym	66	14	73
9606	Homo sapiens	Primates	BCL6	BCL6	BCL6	604	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	IFNAR1	IFNAR1	IFNAR1	3454	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	EPOR	EPOR	EPOR	2057	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	IL6ST	IL6ST	IL6ST	3572	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	IRS2	IRS2	IRS2	8660	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	IL17A	IL17A	IL17A	3605	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	IL17A	IL17A	IL17F	112744	ncbigene_synonym	66	14	73
9606	Homo sapiens	Primates	BCL2L11	BCL2L11	BCL2L11	10018	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	ATG12	ATG12	ATG12	9140	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	PIK3CD	PIK3CD	PIK3CD	5293	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	PIK3CD	PIK3CD	CLSTN1	22883	ncbigene_synonym	66	14	73
9606	Homo sapiens	Primates	CCR7	CCR7	CCR7	1236	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	IL-1A	IL-1A	IL1A	3552	ncbigene_synonym	66	14	73
9606	Homo sapiens	Primates	CCL26	CCL26	CCL26	10344	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	SIRT1	SIRT1	SIRT1	23411	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	IRS1	IRS1	IRS1	3667	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	SOS1	SOS1	SOS1	6654	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	CCL24	CCL24	CCL24	6369	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	CCL20	CCL20	CCL20	6364	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	FLT3.	FLT3	FLT3	2322	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	CREBBP	CREBBP	CREBBP	1387	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	IL-6	IL-6	IL6	3569	ncbigene_synonym	66	14	73
9606	Homo sapiens	Primates	CCL2	CCL2	CCL2	6347	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	SKP2	SKP2	SKP2	6502	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	SKP2	SKP2	UXT	8409	ncbigene_synonym	66	14	73
9606	Homo sapiens	Primates	FOXO3	FOXO3	FOXO3	2309	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	KRAS	KRAS	KRAS	3845	ncbigene_symbol	66	14	73
9606	Homo sapiens	Primates	KRAS	KRAS	NRAS	4893	ncbigene_synonym	66	14	73
9606	Homo sapiens	Primates	KIT	KIT	KIT	3815	ncbigene_symbol	66	14	73
