organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9823	Sus scrofa	Mammals	Bax	BAX	BAX	396633	ncbigene_symbol	3	NA	3
9823	Sus scrofa	Mammals	Bcl-2	BCL2	BCL2	100049703	ncbigene_symbol	3	NA	3
9823	Sus scrofa	Mammals	Fas	FAS	FAS	396826	ncbigene_symbol	3	NA	3
10090	Mus musculus	Rodents	P38	P38	Crk	12928	ncbigene_synonym	2	10	6
10090	Mus musculus	Rodents	P38	P38	Grap2	17444	ncbigene_synonym	2	10	6
10090	Mus musculus	Rodents	P38	P38	Syp	20977	ncbigene_synonym	2	10	6
10090	Mus musculus	Rodents	P38	P38	Mapk14	26416	ncbigene_synonym	2	10	6
10090	Mus musculus	Rodents	P38	P38	Ahsa1	217737	ncbigene_synonym	2	10	6
10090	Mus musculus	Rodents	Bax	BAX	Bax	12028	ncbigene_symbol	2	10	6
10090	Mus musculus	Rodents	Bax	BAX	Nkx3-1	18095	ncbigene_synonym	2	10	6
10090	Mus musculus	Rodents	Bcl-2	BCL-2	Bcl2	12043	ncbigene_synonym	2	10	6
10090	Mus musculus	Rodents	Caspase-9	CASPASE-9	Casp9	12371	ncbigene_synonym	2	10	6
10090	Mus musculus	Rodents	Caspase-3	CASPASE-3	Casp3	12367	ncbigene_synonym	2	10	6
10090	Mus musculus	Rodents	Fas	FAS	Fas	14102	ncbigene_symbol	2	10	6
10090	Mus musculus	Rodents	Fas	FAS	Fasn	14104	ncbigene_synonym	2	10	6
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK1	5594	famplex_relations	2	7	5
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK3	5595	famplex_relations	2	7	5
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK11	5600	famplex_relations	2	7	5
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK12	6300	famplex_relations	2	7	5
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK13	5603	famplex_relations	2	7	5
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK14	1432	famplex_relations	2	7	5
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK8	5599	famplex_relations	2	7	5
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK9	5601	famplex_relations	2	7	5
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK10	5602	famplex_relations	2	7	5
9606	Homo sapiens	Primates	P38	P38	CRK	1398	ncbigene_synonym	2	7	5
9606	Homo sapiens	Primates	P38	P38	AIMP2	7965	ncbigene_synonym	2	7	5
9606	Homo sapiens	Primates	P38	P38	GRAP2	9402	ncbigene_synonym	2	7	5
9606	Homo sapiens	Primates	P38	P38	AHSA1	10598	ncbigene_synonym	2	7	5
9606	Homo sapiens	Primates	P38	P38	POLDIP2	26073	ncbigene_synonym	2	7	5
9606	Homo sapiens	Primates	Bax	BAX	BAX	581	ncbigene_symbol	2	7	5
9606	Homo sapiens	Primates	Bcl-2	BCL-2	BCL2	596	ncbigene_synonym	2	7	5
9606	Homo sapiens	Primates	Fas	FAS	FAS	355	ncbigene_symbol	2	7	5
9606	Homo sapiens	Primates	Fas	FAS	FASN	2194	ncbigene_synonym	2	7	5
