word	mesh	match	name	chebi
Cysteine	mesh:D003545	Cysteine	cysteine	chebi:15356
Cysteine	mesh:D003545	Cysteine	cysteine	chebi:15356
Mercapturate	mesh:C048094	NA	NA	NA
CysGly	mesh:C028505	NA	NA	NA
GSSG CysGlySSCysGly	mesh:C044514	Gly-Gly-Cys	glycyl-glycyl-cysteine	chebi:163688
ADP	mesh:D000244	NA	NA	NA
ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
CysGly	mesh:C028505	NA	NA	NA
Cystine	mesh:D003553	Cystine	cystine	chebi:17376
2GSH	mesh:D005978	Glutathione	glutathione	chebi:16856
ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
GSH	mesh:D005978	Glutathione	glutathione	chebi:16856
GSSG	mesh:D019803	Glutathione Disulfide	glutathione disulfide	chebi:17858
Acetil-CoA G	mesh:C065987	NA	NA	NA
ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
ADP	mesh:D000244	NA	NA	NA
ADP	mesh:D000244	NA	NA	NA
N-Acetyl-CysSS	mesh:C510899	NA	NA	NA
