organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
10090	Mus musculus	Rodents	Sox2	SOX2	Sox2	20674	ncbigene_symbol	9	19
10090	Mus musculus	Rodents	Sox2	SOX2	Sox2	20674	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	Nanog	NANOG	Nanog	71950	ncbigene_symbol	9	19
10090	Mus musculus	Rodents	Oct4	OCT4	Pou5f1	18999	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	(LDLR	LDLR	Ldlr	16835	ncbigene_symbol	9	19
10090	Mus musculus	Rodents	p38	P38	Crk	12928	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	p38	P38	Grap2	17444	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	p38	P38	Syp	20977	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	p38	P38	Mapk14	26416	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	p38	P38	Ahsa1	217737	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	PI3K	PI3K	Pik3r1	18708	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	Akt	AKT	Akt1	11651	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	mTOR	MTOR	Mtor	56717	ncbigene_symbol	9	19
10090	Mus musculus	Rodents	CD226	CD226	Cd226	225825	ncbigene_symbol	9	19
10090	Mus musculus	Rodents	CDHR3	CDHR3	Cdhr3	68764	ncbigene_symbol	9	19
10090	Mus musculus	Rodents	HER2	HER2	Erbb2	13866	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	ERK1	ERK1	Mapk3	26417	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	ERK1/2	ERK2	Mapk1	26413	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	ERK1/2	ERK1	Mapk3	26417	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	STAT3	STAT3	Stat3	20848	ncbigene_symbol	9	19
10090	Mus musculus	Rodents	Bcl-xL	BCL-XL	Bcl2l1	12048	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	Bcl-2	BCL-2	Bcl2	12043	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	CyclinD1	CCND1	Ccnd1	12443	ncbigene_symbol	9	19
10090	Mus musculus	Rodents	COX-2	COX-2	Ptgs2	19225	ncbigene_synonym	9	19
10090	Mus musculus	Rodents	(MMP-9)	MMP9	Mmp9	17395	ncbigene_symbol	9	19
10090	Mus musculus	Rodents	(MMP-9)	MMP9	Mmp9	17395	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	Sox2	SOX2	SOX2	6657	ncbigene_symbol	9	19
9606	Homo sapiens	Primates	Nanog	NANOG	NANOG	79923	ncbigene_symbol	9	19
9606	Homo sapiens	Primates	Oct4	OCT4	POU5F1	5460	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	Oct4	OCT4	POU5F1P3	642559	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	Oct4	OCT4	POU5F1P4	645682	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	(LDLR	LDLR	LDLR	3949	ncbigene_symbol	9	19
9606	Homo sapiens	Primates	p38	P38	CRK	1398	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	p38	P38	MAPK14	1432	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	p38	P38	MAPK1	5594	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	p38	P38	AIMP2	7965	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	p38	P38	GRAP2	9402	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	p38	P38	AHSA1	10598	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	p38	P38	POLDIP2	26073	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	p38	P38	MAPK11	5600	famplex_relations	9	19
9606	Homo sapiens	Primates	p38	P38	MAPK12	6300	famplex_relations	9	19
9606	Homo sapiens	Primates	p38	P38	MAPK13	5603	famplex_relations	9	19
9606	Homo sapiens	Primates	p38	P38	MAPK14	1432	famplex_relations	9	19
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK1	5594	famplex_relations	9	19
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK3	5595	famplex_relations	9	19
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK11	5600	famplex_relations	9	19
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK12	6300	famplex_relations	9	19
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK13	5603	famplex_relations	9	19
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK14	1432	famplex_relations	9	19
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK8	5599	famplex_relations	9	19
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK9	5601	famplex_relations	9	19
9606	Homo sapiens	Primates	MAPK	MAPK	MAPK10	5602	famplex_relations	9	19
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CA	5290	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CB	5291	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CD	5293	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CG	5294	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CA	5290	famplex_relations	9	19
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CB	5291	famplex_relations	9	19
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CD	5293	famplex_relations	9	19
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CG	5294	famplex_relations	9	19
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R3	8503	famplex_relations	9	19
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R4	30849	famplex_relations	9	19
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R5	23533	famplex_relations	9	19
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R6	146850	famplex_relations	9	19
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R1	5295	famplex_relations	9	19
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R2	5296	famplex_relations	9	19
9606	Homo sapiens	Primates	Akt	AKT	AKT1	207	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	Akt	AKT	AKT1	207	famplex_relations	9	19
9606	Homo sapiens	Primates	Akt	AKT	AKT2	208	famplex_relations	9	19
9606	Homo sapiens	Primates	Akt	AKT	AKT3	10000	famplex_relations	9	19
9606	Homo sapiens	Primates	mTOR	MTOR	MTOR	2475	ncbigene_symbol	9	19
9606	Homo sapiens	Primates	CD226	CD226	CD226	10666	ncbigene_symbol	9	19
9606	Homo sapiens	Primates	CDHR3	CDHR3	CDHR3	222256	ncbigene_symbol	9	19
9606	Homo sapiens	Primates	HER2	HER2	ERBB2	2064	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	ERK1	ERK1	MAPK3	5595	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	ERK1/2	ERK2	MAPK1	5594	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	ERK1/2	ERK1	MAPK3	5595	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	STAT3	STAT3	STAT3	6774	ncbigene_symbol	9	19
9606	Homo sapiens	Primates	Bcl-2	BCL-2	BCL2	596	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	CyclinD1	CCND1	CCND1	595	ncbigene_symbol	9	19
9606	Homo sapiens	Primates	COX-2	COX-2	PTGS2	5743	ncbigene_synonym	9	19
9606	Homo sapiens	Primates	(MMP-9)	MMP9	MMP9	4318	ncbigene_symbol	9	19
9606	Homo sapiens	Primates	(MMP-9)	MMP9	MMP9	4318	ncbigene_synonym	9	19
10116	Rattus norvegicus	Rodents	Sox2	SOX2	Sox2	499593	ncbigene_symbol	9	17
10116	Rattus norvegicus	Rodents	Sox2	SOX2	Qsox1	84491	ncbigene_synonym	9	17
10116	Rattus norvegicus	Rodents	Nanog	NANOG	Nanog	414065	ncbigene_symbol	9	17
10116	Rattus norvegicus	Rodents	(LDLR	LDLR	Ldlr	300438	ncbigene_symbol	9	17
10116	Rattus norvegicus	Rodents	p38	P38	Mapk14	81649	ncbigene_synonym	9	17
10116	Rattus norvegicus	Rodents	PI3K	PI3K	Pik3cg	298947	ncbigene_synonym	9	17
10116	Rattus norvegicus	Rodents	Akt	AKT	Akt1	24185	ncbigene_synonym	9	17
10116	Rattus norvegicus	Rodents	mTOR	MTOR	Mtor	56718	ncbigene_symbol	9	17
10116	Rattus norvegicus	Rodents	CD226	CD226	Cd226	307199	ncbigene_symbol	9	17
10116	Rattus norvegicus	Rodents	CDHR3	CDHR3	Cdhr3	686932	ncbigene_symbol	9	17
10116	Rattus norvegicus	Rodents	ERK1	ERK1	Mapk3	50689	ncbigene_synonym	9	17
10116	Rattus norvegicus	Rodents	ERK1/2	ERK2	Mapk1	116590	ncbigene_synonym	9	17
10116	Rattus norvegicus	Rodents	ERK1/2	ERK1	Mapk3	50689	ncbigene_synonym	9	17
10116	Rattus norvegicus	Rodents	STAT3	STAT3	Stat3	25125	ncbigene_symbol	9	17
10116	Rattus norvegicus	Rodents	Bcl-xL	BCL-XL	Bcl2l1	24888	ncbigene_synonym	9	17
10116	Rattus norvegicus	Rodents	Bcl-2	BCL-2	Bcl2	24224	ncbigene_synonym	9	17
10116	Rattus norvegicus	Rodents	CyclinD1	CCND1	Ccnd1	58919	ncbigene_symbol	9	17
10116	Rattus norvegicus	Rodents	COX-2	COX-2	Ptgs2	29527	ncbigene_synonym	9	17
10116	Rattus norvegicus	Rodents	(MMP-9)	MMP9	Mmp9	81687	ncbigene_symbol	9	17
