organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
9606	Homo sapiens	Primates	STING1	STING1	STING1	340061	ncbigene_symbol	5	9
9606	Homo sapiens	Primates	TBK1	TBK1	TBK1	29110	ncbigene_symbol	5	9
9606	Homo sapiens	Primates	IRF3	IRF3	IRF3	3661	ncbigene_symbol	5	9
9606	Homo sapiens	Primates	CDNs	CDN	NT5C	30833	ncbigene_synonym	5	9
9606	Homo sapiens	Primates	CGAS	CGAS	CGAS	115004	ncbigene_symbol	5	9
9606	Homo sapiens	Primates	DDX58	DDX58	RIGI	23586	ncbigene_synonym	5	9
9606	Homo sapiens	Primates	IFNs	IFN	IFNA1	3439	ncbigene_synonym	5	9
9606	Homo sapiens	Primates	MAVS	MAVS	MAVS	57506	ncbigene_symbol	5	9
9606	Homo sapiens	Primates	UND	UND	COL14A1	7373	ncbigene_synonym	5	9
10116	Rattus norvegicus	Rodents	STING1	STING1	Sting1	498840	ncbigene_symbol	5	6
10116	Rattus norvegicus	Rodents	TBK1	TBK1	Tbk1	299827	ncbigene_symbol	5	6
10116	Rattus norvegicus	Rodents	IRF3	IRF3	Irf3	292892	ncbigene_symbol	5	6
10116	Rattus norvegicus	Rodents	CGAS	CGAS	Cgas	682147	ncbigene_symbol	5	6
10116	Rattus norvegicus	Rodents	DDX58	DDX58	Rig1	297989	ncbigene_synonym	5	6
10116	Rattus norvegicus	Rodents	MAVS	MAVS	Mavs	311430	ncbigene_symbol	5	6
10090	Mus musculus	Rodents	STING1	STING1	Sting1	72512	ncbigene_symbol	5	6
10090	Mus musculus	Rodents	TBK1	TBK1	Tbk1	56480	ncbigene_symbol	5	6
10090	Mus musculus	Rodents	IRF3	IRF3	Irf3	54131	ncbigene_symbol	5	6
10090	Mus musculus	Rodents	IRF3	IRF3	Irf3	54131	ncbigene_synonym	5	6
10090	Mus musculus	Rodents	CGAS	CGAS	Cgas	214763	ncbigene_symbol	5	6
10090	Mus musculus	Rodents	DDX58	DDX58	Rigi	230073	ncbigene_synonym	5	6
10090	Mus musculus	Rodents	MAVS	MAVS	Mavs	228607	ncbigene_symbol	5	6
