word	mesh	match	name	chebi
Phenylalanine	mesh:C119108	Leu-Phe	leucyl-phenylalanine	chebi:73585
Quercetin	mesh:D011794	Quercetin	quercetin	chebi:16243
Flavonol	mesh:D044948	Flavonols	flavonols	chebi:28802
Cinamic acid	mesh:D000596	NA	NA	NA
Luteonil	NA	NA	NA	NA
Flavone	mesh:C043562	NA	NA	NA
OH	mesh:C031356	hydroxide	hydroxide ion	chebi:16234
Dihydroquercetin	mesh:C003377	(+)-taxifolin	taxifolin	chebi:17948
4-coumaric acid	mesh:C032171	NA	NA	NA
Leucocyanidin	mesh:C001532	NA	NA	NA
Cyanidin	mesh:C017154	NA	NA	NA
Cyanidin glycosides	mesh:C000597824	NA	NA	NA
F3H	mesh:D006859	Hydrogen	dihydrogen	chebi:18276
F3H	mesh:D006859	Hydrogen	dihydrogen	chebi:18276
4-coumaroyl-CoA	mesh:C058644	NA	NA	NA
Malonyl-CoA	mesh:D008316	Malonyl Coenzyme A	malonyl-CoA	chebi:15531
Naringenin chalcone	mesh:C027329	NA	NA	NA
CHI	mesh:C084533	NA	NA	NA
Naringenin	mesh:C005273	NA	NA	NA
Flavanone	mesh:D044950	Flavanones	flavanones	chebi:28863
Dihydrokaempferol	mesh:C080220	(+)-dihydrokaempferol	aromadedrin	chebi:15401
Leucopelargonidin	mesh:C087775	NA	NA	NA
Pelargonidin	mesh:C066957	NA	NA	NA
F35H	mesh:C533290	NA	NA	NA
Pelargonidin glycosides	mesh:C066957	NA	NA	NA
Dihydromyricetin	mesh:C472036	NA	NA	NA
Flavan 3-ols	mesh:C404987	NA	NA	NA
Epi-flavan 3-ols	mesh:C404987	NA	NA	NA
Kaempferol	mesh:D044949	NA	NA	NA
Flavonol	mesh:D044948	Flavonols	flavonols	chebi:28802
Proanthocyanidins	mesh:D044945	Proanthocyanidins	proanthocyanidin	chebi:26267
