organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9606	Homo sapiens	Primates	ASC	ASC	STS	412	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	ASC	ASC	PYCARD	29108	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	NLRP3	NLRP3	NLRP3	114548	ncbigene_symbol	4	19	12
9606	Homo sapiens	Primates	MyD88	MYD88	MYD88	4615	ncbigene_symbol	4	19	12
9606	Homo sapiens	Primates	p65	P65	RELA	5970	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	p65	P65	SYT1	6857	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	p65	P65	GORASP1	64689	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	p65	P65	WNK1	65125	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	p50	P50	CD40	958	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	p50	P50	ARHGEF7	8874	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	p50	P50	ASCC1	51008	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	p50	P50	H3P40	115482723	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	TLR4	TLR4	TLR4	7099	ncbigene_symbol	4	19	12
9606	Homo sapiens	Primates	TRIF	TRIF	TRIM69	140691	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	TRIF	TRIF	TICAM1	148022	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	Beclin-1	BECLIN1	BECN1	8678	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	LC3B	LC3B	MAP1LC3B	81631	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	p62	P62	GTF2H1	2965	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	p62	P62	SQSTM1	8878	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	p62	P62	KHDRBS1	10657	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	p62	P62	NUP62	23636	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	p62	P62	DCTN4	51164	ncbigene_synonym	4	19	12
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP1	834	famplex_relations	4	19	12
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP2	835	famplex_relations	4	19	12
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP4	837	famplex_relations	4	19	12
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP5	838	famplex_relations	4	19	12
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP6	839	famplex_relations	4	19	12
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP8	841	famplex_relations	4	19	12
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP9	842	famplex_relations	4	19	12
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP10	843	famplex_relations	4	19	12
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP12	100506742	famplex_relations	4	19	12
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP14	23581	famplex_relations	4	19	12
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP3	836	famplex_relations	4	19	12
9606	Homo sapiens	Primates	Caspase	CASPASE	CASP7	840	famplex_relations	4	19	12
9606	Homo sapiens	Primates	IL-1B	IL1B	IL1B	3553	ncbigene_symbol	4	19	12
10116	Rattus norvegicus	Rodents	ASC	ASC	Pycard	282817	ncbigene_synonym	4	6	10
10116	Rattus norvegicus	Rodents	NLRP3	NLRP3	Nlrp3	287362	ncbigene_symbol	4	6	10
10116	Rattus norvegicus	Rodents	MyD88	MYD88	Myd88	301059	ncbigene_symbol	4	6	10
10116	Rattus norvegicus	Rodents	p65	P65	Syt1	25716	ncbigene_synonym	4	6	10
10116	Rattus norvegicus	Rodents	TLR4	TLR4	Tlr4	29260	ncbigene_symbol	4	6	10
10116	Rattus norvegicus	Rodents	TRIF	TRIF	Rnf138	94196	ncbigene_synonym	4	6	10
10116	Rattus norvegicus	Rodents	Beclin-1	BECLIN1	Becn1	114558	ncbigene_synonym	4	6	10
10116	Rattus norvegicus	Rodents	LC3B	LC3B	Map1lc3b	64862	ncbigene_synonym	4	6	10
10116	Rattus norvegicus	Rodents	p62	P62	Khdrbs1	117268	ncbigene_synonym	4	6	10
10116	Rattus norvegicus	Rodents	IL-1B	IL1B	Il1b	24494	ncbigene_symbol	4	6	10
10090	Mus musculus	Rodents	ASC	ASC	Pycard	66824	ncbigene_synonym	3	21	11
10090	Mus musculus	Rodents	NLRP3	NLRP3	Nlrp3	216799	ncbigene_symbol	3	21	11
10090	Mus musculus	Rodents	MyD88	MYD88	Myd88	17874	ncbigene_symbol	3	21	11
10090	Mus musculus	Rodents	IKB	IKB	Nfkbib	18036	ncbigene_synonym	3	21	11
10090	Mus musculus	Rodents	p65	P65	Rela	19697	ncbigene_synonym	3	21	11
10090	Mus musculus	Rodents	p65	P65	Gorasp1	74498	ncbigene_synonym	3	21	11
10090	Mus musculus	Rodents	p50	P50	Cdc37	12539	ncbigene_synonym	3	21	11
10090	Mus musculus	Rodents	p50	P50	Lsp1	16985	ncbigene_synonym	3	21	11
10090	Mus musculus	Rodents	p50	P50	Nfkb1	18033	ncbigene_synonym	3	21	11
10090	Mus musculus	Rodents	p50	P50	Pold2	18972	ncbigene_synonym	3	21	11
10090	Mus musculus	Rodents	p50	P50	Cd40	21939	ncbigene_synonym	3	21	11
10090	Mus musculus	Rodents	p50	P50	Dctn2	69654	ncbigene_synonym	3	21	11
10090	Mus musculus	Rodents	TLR4	TLR4	Tlr4	21898	ncbigene_symbol	3	21	11
