word	mesh	match	name	chebi
Citrate 3-HBA Acetate	mesh:C102006	NA	NA	NA
Glycerol	mesh:D005990	Glycerol	glycerol	chebi:17754
Polyol	mesh:C029873	NA	NA	NA
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Fructose-1-phosphate	mesh:C032284	beta-D-fructopyranose 1-phosphate	fructose-1-phosphate	chebi:42320
Glyceraldehyde	mesh:D005985	Glyceraldehyde	glyceraldehyde	chebi:5445
Glycerol	mesh:D005990	Glycerol	glycerol	chebi:17754
Acetate	mesh:D000085	Acetates	acetate ester	chebi:47622
Citrate	mesh:C102006	NA	NA	NA
Acetyl-CoA Malonyl-CoA	mesh:D008316	Malonyl Coenzyme A	malonyl-CoA	chebi:15531
Ethanolamine	mesh:D004983	Ethanolamines	ethanolamines	chebi:23981
Glycerol	mesh:D005990	Glycerol	glycerol	chebi:17754
PEtn	mesh:C020791	NA	NA	NA
CDPEtn	NA	NA	NA	NA
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glucose-6-phosphate	mesh:D019298	NA	NA	NA
Fructose-6-phosphate	mesh:C027618	NA	NA	NA
Fructose-1,6-diphosphate	mesh:C029063	keto-D-fructose 1,6-bisphosphate	fructose-1,6-diphosphate	chebi:16905
DHAP	mesh:C017202	NA	NA	NA
Asp	mesh:C108952	Asp-Asp	aspartyl-aspartic acid	chebi:73446
Asn	mesh:C528802	NA	NA	NA
DHAP	mesh:C017202	NA	NA	NA
Glycerol-3-P	mesh:D005990	Glycerol	glycerol	chebi:17754
Pyruvate	mesh:D011773	NA	NA	NA
Acetyl-CoA	mesh:D000105	Acetyl Coenzyme A	acetyl-CoA	chebi:15351
Ala	mesh:C026593	NA	NA	NA
Glu	mesh:C094686	Glu-Glu	glutamyl-glutamic acid	chebi:5390
Pyroglutamate Cystine	mesh:D011761	Pyrrolidonecarboxylic Acid	5-oxoproline	chebi:16010
nucleotides	mesh:D009711	Nucleotides	nucleotide	chebi:36976
Citrate	mesh:C102006	NA	NA	NA
Oxabacetate	NA	NA	NA	NA
ketoglutarate	mesh:C029743	NA	NA	NA
TCA	mesh:C000589078	NA	NA	NA
succinyl-CoA	mesh:C012046	NA	NA	NA
Fumarate Succinate	mesh:D005650	NA	NA	NA
Ser	mesh:C530429	NA	NA	NA
Formate	mesh:D005561	NA	NA	NA
Hexosamine	mesh:D006595	Hexosamines	hexosamine	chebi:24586
Gly	mesh:C070361	NA	NA	NA
Lactate	mesh:D019344	NA	NA	NA
Asp	mesh:C108952	Asp-Asp	aspartyl-aspartic acid	chebi:73446
Ala	mesh:C026593	NA	NA	NA
Phe	mesh:C026650	NA	NA	NA
Glycerol	mesh:D005990	Glycerol	glycerol	chebi:17754
Choline	mesh:D002794	Choline	choline	chebi:15354
Val	mesh:C081489	NA	NA	NA
Sphingolipid	mesh:D013107	Sphingolipids	sphingolipid	chebi:26739
glutamylcysteine	mesh:C017341	NA	NA	NA
Cys	mesh:C046557	NA	NA	NA
Glutathione	mesh:D005978	Glutathione	glutathione	chebi:16856
Amino acid	mesh:D000596	NA	NA	NA
Val	mesh:C081489	NA	NA	NA
ALA	mesh:C114767	NA	NA	NA
EPA	mesh:C062422	NA	NA	NA
DHA	mesh:C111716	NA	NA	NA
GSH	mesh:D005978	Glutathione	glutathione	chebi:16856
Glu	mesh:C094686	Glu-Glu	glutamyl-glutamic acid	chebi:5390
Gly	mesh:C070361	NA	NA	NA
DHAP	mesh:C017202	NA	NA	NA
Cholesterol	mesh:D002784	Cholesterol	cholesterol	chebi:16113
Acetyl-CoA	mesh:D000105	Acetyl Coenzyme A	acetyl-CoA	chebi:15351
Vitamin D	mesh:D014807	Vitamin D	vitamin D	chebi:27300
Cholesterol	mesh:D002784	Cholesterol	cholesterol	chebi:16113
Lactate	mesh:D019344	NA	NA	NA
Formate	mesh:D005561	NA	NA	NA
Choline	mesh:D002794	Choline	choline	chebi:15354
