organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
9796	Equus caballus	Mammals	miR-26a	MIR26A	MIR26A	100314818	ncbigene_symbol	12	NA	12
9796	Equus caballus	Mammals	PTEN	PTEN	PTEN	100062388	ncbigene_symbol	12	NA	12
9796	Equus caballus	Mammals	COL18A1	COL18A1	COL18A1	100055712	ncbigene_symbol	12	NA	12
9796	Equus caballus	Mammals	THBS2	THBS2	THBS2	100050044	ncbigene_symbol	12	NA	12
9796	Equus caballus	Mammals	miR-23a	MIR23A	MIR23A	100314823	ncbigene_symbol	12	NA	12
9796	Equus caballus	Mammals	ErbB2/3	ERBB2	ERBB2	100054739	ncbigene_symbol	12	NA	12
9796	Equus caballus	Mammals	ErbB2/3	ERBB3	ERBB3	100059216	ncbigene_symbol	12	NA	12
9796	Equus caballus	Mammals	CRP	CRP	CRP	100057752	ncbigene_symbol	12	NA	12
9796	Equus caballus	Mammals	C-MYB	MYB	MYB	100073162	ncbigene_symbol	12	NA	12
9796	Equus caballus	Mammals	JAK2	JAK2	JAK2	100051487	ncbigene_symbol	12	NA	12
9796	Equus caballus	Mammals	STAT3	STAT3	STAT3	100034011	ncbigene_symbol	12	NA	12
9796	Equus caballus	Mammals	miR-130a	MIR130A	MIR130A	100315061	ncbigene_symbol	12	NA	12
9615	Canis lupus familiaris	Mammals	PTEN	PTEN	PTEN	403832	ncbigene_symbol	10	2	12
9615	Canis lupus familiaris	Mammals	COL18A1	COL18A1	COL18A1	100687767	ncbigene_symbol	10	2	12
9615	Canis lupus familiaris	Mammals	THBS2	THBS2	THBS2	484087	ncbigene_symbol	10	2	12
9615	Canis lupus familiaris	Mammals	miR-23a	MIR23A	MIR23A	100886183	ncbigene_symbol	10	2	12
9615	Canis lupus familiaris	Mammals	ZO-1	ZO-1	TJP1	403752	ncbigene_synonym	10	2	12
9615	Canis lupus familiaris	Mammals	ErbB2/3	ERBB2	ERBB2	403883	ncbigene_symbol	10	2	12
9615	Canis lupus familiaris	Mammals	ErbB2/3	ERBB3	ERBB3	481105	ncbigene_symbol	10	2	12
9615	Canis lupus familiaris	Mammals	CRP	CRP	CRP	488629	ncbigene_symbol	10	2	12
9615	Canis lupus familiaris	Mammals	C-MYB	C-MYB	MYB	483995	ncbigene_synonym	10	2	12
9615	Canis lupus familiaris	Mammals	JAK2	JAK2	JAK2	484185	ncbigene_symbol	10	2	12
9615	Canis lupus familiaris	Mammals	STAT3	STAT3	STAT3	490967	ncbigene_symbol	10	2	12
9615	Canis lupus familiaris	Mammals	miR-130a	MIR130A	MIR130A	100885892	ncbigene_symbol	10	2	12
9606	Homo sapiens	Primates	PHD3	PHD3	EGLN3	112399	ncbigene_synonym	8	13	16
9606	Homo sapiens	Primates	miR-26a	MIR26A	MIR26A1	407015	ncbigene_synonym	8	13	16
9606	Homo sapiens	Primates	PTEN	PTEN	PTEN	5728	ncbigene_symbol	8	13	16
9606	Homo sapiens	Primates	COL18A1	COL18A1	COL18A1	80781	ncbigene_symbol	8	13	16
9606	Homo sapiens	Primates	THBS2	THBS2	THBS2	7058	ncbigene_symbol	8	13	16
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CA	5290	ncbigene_synonym	8	13	16
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CB	5291	ncbigene_synonym	8	13	16
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CD	5293	ncbigene_synonym	8	13	16
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3CG	5294	ncbigene_synonym	8	13	16
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R3	8503	famplex_relations	8	13	16
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R4	30849	famplex_relations	8	13	16
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R5	23533	famplex_relations	8	13	16
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R6	146850	famplex_relations	8	13	16
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R1	5295	famplex_relations	8	13	16
9606	Homo sapiens	Primates	PI3K	PI3K	PIK3R2	5296	famplex_relations	8	13	16
9606	Homo sapiens	Primates	miR-23a	MIR-23A	MIR23A	407010	ncbigene_synonym	8	13	16
9606	Homo sapiens	Primates	ZO-1	ZO-1	TJP1	7082	ncbigene_synonym	8	13	16
9606	Homo sapiens	Primates	Akt	AKT	AKT1	207	ncbigene_synonym	8	13	16
9606	Homo sapiens	Primates	Akt	AKT	AKT2	208	famplex_relations	8	13	16
9606	Homo sapiens	Primates	Akt	AKT	AKT3	10000	famplex_relations	8	13	16
9606	Homo sapiens	Primates	ErbB2/3	ERBB2	ERBB2	2064	ncbigene_symbol	8	13	16
9606	Homo sapiens	Primates	ErbB2/3	ERBB3	ERBB3	2065	ncbigene_symbol	8	13	16
9606	Homo sapiens	Primates	CRP	CRP	CRP	1401	ncbigene_symbol	8	13	16
9606	Homo sapiens	Primates	CRP	CRP	CSRP1	1465	ncbigene_synonym	8	13	16
9606	Homo sapiens	Primates	CRP	CRP	PPIAP10	140913	ncbigene_synonym	8	13	16
9606	Homo sapiens	Primates	C-MYB	C-MYB	MYB	4602	ncbigene_synonym	8	13	16
9606	Homo sapiens	Primates	JAK2	JAK2	JAK2	3717	ncbigene_symbol	8	13	16
9606	Homo sapiens	Primates	STAT3	STAT3	STAT3	6774	ncbigene_symbol	8	13	16
9606	Homo sapiens	Primates	miR-130a	MIR-130A	MIR130A	406919	ncbigene_synonym	8	13	16
10090	Mus musculus	Rodents	PHD3	PHD3	Egln3	112407	ncbigene_synonym	8	10	16
10090	Mus musculus	Rodents	miR-26a	MIR-26A	Mir26a-1	387218	ncbigene_synonym	8	10	16
10090	Mus musculus	Rodents	PTEN	PTEN	Pten	19211	ncbigene_symbol	8	10	16
10090	Mus musculus	Rodents	COL18A1	COL18A1	Col18a1	12822	ncbigene_symbol	8	10	16
10090	Mus musculus	Rodents	THBS2	THBS2	Thbs2	21826	ncbigene_symbol	8	10	16
10090	Mus musculus	Rodents	PI3K	PI3K	Pik3r1	18708	ncbigene_synonym	8	10	16
10090	Mus musculus	Rodents	miR-23a	MIR-23A	Mir23a	387216	ncbigene_synonym	8	10	16
10090	Mus musculus	Rodents	ZO-1	ZO1	Tjp1	21872	ncbigene_synonym	8	10	16
10090	Mus musculus	Rodents	Akt	AKT	Akt1	11651	ncbigene_synonym	8	10	16
10090	Mus musculus	Rodents	ErbB2/3	ERBB2	Erbb2	13866	ncbigene_symbol	8	10	16
10090	Mus musculus	Rodents	ErbB2/3	ERBB3	Erbb3	13867	ncbigene_symbol	8	10	16
10090	Mus musculus	Rodents	CRP	CRP	Crp	12944	ncbigene_symbol	8	10	16
10090	Mus musculus	Rodents	CRP	CRP	Dmbt1	12945	ncbigene_synonym	8	10	16
10090	Mus musculus	Rodents	CRP	CRP	Crip2	68337	ncbigene_synonym	8	10	16
10090	Mus musculus	Rodents	C-MYB	C-MYB	Myb	17863	ncbigene_synonym	8	10	16
10090	Mus musculus	Rodents	JAK2	JAK2	Jak2	16452	ncbigene_symbol	8	10	16
10090	Mus musculus	Rodents	STAT3	STAT3	Stat3	20848	ncbigene_symbol	8	10	16
10090	Mus musculus	Rodents	miR-130a	MIR-130A	Mir130a	387149	ncbigene_synonym	8	10	16
7955	Danio rerio	Vertebrates	PTEN	PTEN	ptenb	368415	ncbigene_synonym	3	11	10
7955	Danio rerio	Vertebrates	COL18A1	COL18A1	col18a1a	564123	ncbigene_synonym	3	11	10
7955	Danio rerio	Vertebrates	THBS2	THBS2	thbs2a	100535241	ncbigene_synonym	3	11	10
7955	Danio rerio	Vertebrates	ErbB2/3	ERBB2	erbb2	386966	ncbigene_symbol	3	11	10
7955	Danio rerio	Vertebrates	ErbB2/3	ERBB3	erbb3a	386635	ncbigene_synonym	3	11	10
7955	Danio rerio	Vertebrates	ErbB2/3	ERBB3	erbb3b	544664	ncbigene_synonym	3	11	10
7955	Danio rerio	Vertebrates	CRP	CRP	crp	751795	ncbigene_symbol	3	11	10
7955	Danio rerio	Vertebrates	CRP	CRP	crp4	678538	ncbigene_synonym	3	11	10
7955	Danio rerio	Vertebrates	CRP	CRP	apcs	792467	ncbigene_synonym	3	11	10
7955	Danio rerio	Vertebrates	CRP	CRP	crp7	100124600	ncbigene_synonym	3	11	10
7955	Danio rerio	Vertebrates	C-MYB	C-MYB	myb	30519	ncbigene_synonym	3	11	10
7955	Danio rerio	Vertebrates	JAK2	JAK2	jak2b	30298	ncbigene_synonym	3	11	10
7955	Danio rerio	Vertebrates	STAT3	STAT3	stat3	30767	ncbigene_symbol	3	11	10
7955	Danio rerio	Vertebrates	miR-130a	MIR-130A	dre-mir-130a-1	494474	ncbigene_synonym	3	11	10
7227	Drosophila melanogaster	Invertebrates	miR-9	MIR-9	mir-9a	12797939	ncbigene_synonym	3	11	8
7227	Drosophila melanogaster	Invertebrates	miR-9	MIR-9	mir-9c	12798236	ncbigene_synonym	3	11	8
7227	Drosophila melanogaster	Invertebrates	miR-9	MIR-9	mir-9b	12798246	ncbigene_synonym	3	11	8
7227	Drosophila melanogaster	Invertebrates	PTEN	PTEN	Pten	43991	ncbigene_symbol	3	11	8
7227	Drosophila melanogaster	Invertebrates	COL18A1	COL18A1	Mp	38769	ncbigene_synonym	3	11	8
