organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
9606	Homo sapiens	Primates	miR-21	MIR-21	MIR21	406991	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	miR-181c-5pPTPNBAX/BCL-2	BCL-2	BCL2	596	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	BCL-2	BCL-2	BCL2	596	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	BAX	BAX	BAX	581	ncbigene_symbol	3	10
9606	Homo sapiens	Primates	BCL-2)	BCL2	BCL2	596	ncbigene_symbol	3	10
9606	Homo sapiens	Primates	BCL-2)	BCL2	BCL2	596	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	miR-29b-	MIR29B	MIR29B1	407024	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	BIM	BIM	BCL2L11	10018	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	miR-29b	MIR-29B	MIR29B1	407024	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	PARP-1	PARP-1	PARP1	142	ncbigene_synonym	3	10
9606	Homo sapiens	Primates	FADD	FADD	FADD	8772	ncbigene_symbol	3	10
9606	Homo sapiens	Primates	miR-27a	MIR-27A	MIR27A	407018	ncbigene_synonym	3	10
