organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
7227	Drosophila melanogaster	Invertebrates	HAD	HAD	Had1	32592	ncbigene_synonym	9	17
7227	Drosophila melanogaster	Invertebrates	PIC	PIC	pic	41611	ncbigene_symbol	9	17
7227	Drosophila melanogaster	Invertebrates	PIC	PIC	pic	41611	ncbigene_synonym	9	17
7227	Drosophila melanogaster	Invertebrates	Loss	LOS	mid	33770	ncbigene_synonym	9	17
7227	Drosophila melanogaster	Invertebrates	Park	PARK	park	40336	ncbigene_symbol	9	17
7227	Drosophila melanogaster	Invertebrates	Park	PARK	park	40336	ncbigene_synonym	9	17
7227	Drosophila melanogaster	Invertebrates	mi	MI	mi	37723	ncbigene_symbol	9	17
7227	Drosophila melanogaster	Invertebrates	M12	M12	l(1)MZ12	249407	ncbigene_synonym	9	17
7227	Drosophila melanogaster	Invertebrates	ADP+	ADP	adp	37073	ncbigene_symbol	9	17
7227	Drosophila melanogaster	Invertebrates	ADP+	ADP	adp	37073	ncbigene_synonym	9	17
7227	Drosophila melanogaster	Invertebrates	PI	PI	pi	5656965	ncbigene_symbol	9	17
7227	Drosophila melanogaster	Invertebrates	unk	UNK	unk	42738	ncbigene_symbol	9	17
7227	Drosophila melanogaster	Invertebrates	ank	ANK	Ank	43770	ncbigene_symbol	9	17
7227	Drosophila melanogaster	Invertebrates	ank	ANK	Ank	43770	ncbigene_synonym	9	17
7227	Drosophila melanogaster	Invertebrates	Pe	PE	pe	252319	ncbigene_symbol	9	17
7227	Drosophila melanogaster	Invertebrates	Ma	MA	E(spl)malpha-BFM	43153	ncbigene_synonym	9	17
7227	Drosophila melanogaster	Invertebrates	POK	POK	aop	33392	ncbigene_synonym	9	17
7227	Drosophila melanogaster	Invertebrates	HIF-1(a)	HIF1A	sima	43580	ncbigene_synonym	9	17
7227	Drosophila melanogaster	Invertebrates	HIF-1	HIF-1	tgo	41084	ncbigene_synonym	9	17
7227	Drosophila melanogaster	Invertebrates	HIF-1	HIF-1	sima	43580	ncbigene_synonym	9	17
7227	Drosophila melanogaster	Invertebrates	HIM	HIM	Him	32801	ncbigene_symbol	9	17
7227	Drosophila melanogaster	Invertebrates	HIM	HIM	Him	32801	ncbigene_synonym	9	17
7227	Drosophila melanogaster	Invertebrates	HIFA	HIFA	sima	43580	ncbigene_synonym	9	17
9606	Homo sapiens	Primates	HAD	HAD	HADH	3033	ncbigene_synonym	3	12
9606	Homo sapiens	Primates	PIC	PIC	SLC25A3	5250	ncbigene_synonym	3	12
9606	Homo sapiens	Primates	ADP+	ADP	WDTC1	23038	ncbigene_synonym	3	12
9606	Homo sapiens	Primates	unk	UNK	UNK	85451	ncbigene_symbol	3	12
9606	Homo sapiens	Primates	ank	ANK	ANK1	286	ncbigene_synonym	3	12
9606	Homo sapiens	Primates	ank	ANK	ANKH	56172	ncbigene_synonym	3	12
9606	Homo sapiens	Primates	FLOWER	FLOWER	CACFD1	11094	ncbigene_synonym	3	12
9606	Homo sapiens	Primates	HIF-1(a)	HIF1A	HIF1A	3091	ncbigene_symbol	3	12
9606	Homo sapiens	Primates	HIF-1(a)	HIF1A	HIF1A	3091	ncbigene_synonym	3	12
9606	Homo sapiens	Primates	HIF-1	HIF-1	SETD2	29072	ncbigene_synonym	3	12
9606	Homo sapiens	Primates	BNIPS,	BNIPS	BNIPL	149428	ncbigene_synonym	3	12
9606	Homo sapiens	Primates	MIX	MIX	MIXL1	83881	ncbigene_synonym	3	12
9606	Homo sapiens	Primates	HIFA	HIFA	HIF1A	3091	famplex_relations	3	12
9606	Homo sapiens	Primates	HIFA	HIFA	EPAS1	2034	famplex_relations	3	12
9606	Homo sapiens	Primates	HIFA	HIFA	HIF3A	64344	famplex_relations	3	12
9606	Homo sapiens	Primates	Th	TH	TH	7054	ncbigene_symbol	3	12
