word	mesh	match	name	chebi
Br	mesh:C068746	NA	NA	NA
Na	mesh:D012964	Sodium	sodium-23 atom	chebi:52634
Br	mesh:C068746	NA	NA	NA
Na	mesh:D012964	Sodium	sodium-23 atom	chebi:52634
Br	mesh:C068746	NA	NA	NA
Na2	mesh:D012964	Sodium	sodium-23 atom	chebi:52634
eosin	mesh:D004801	Eosine Yellowish-(YS)	eosin YS dye	chebi:52053
Br	mesh:C068746	NA	NA	NA
Na	mesh:D012964	Sodium	sodium-23 atom	chebi:52634
Br	mesh:C068746	NA	NA	NA
Br	mesh:C068746	NA	NA	NA
Na	mesh:D012964	Sodium	sodium-23 atom	chebi:52634
Br	mesh:C068746	NA	NA	NA
Na2	mesh:D012964	Sodium	sodium-23 atom	chebi:52634
eosin	mesh:D004801	Eosine Yellowish-(YS)	eosin YS dye	chebi:52053
Na	mesh:D012964	Sodium	sodium-23 atom	chebi:52634
Br	mesh:C068746	NA	NA	NA
Br	mesh:C068746	NA	NA	NA
Br	mesh:C068746	NA	NA	NA
Na2	mesh:D012964	Sodium	sodium-23 atom	chebi:52634
eosin	mesh:D004801	Eosine Yellowish-(YS)	eosin YS dye	chebi:52053
Na	mesh:D012964	Sodium	sodium-23 atom	chebi:52634
Br	mesh:C068746	NA	NA	NA
