organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_synonym	count_match
7227	Drosophila melanogaster	Invertebrates	was	WAS	wac	38044	ncbigene_synonym	3	6	7
7227	Drosophila melanogaster	Invertebrates	on	ON	On	252296	ncbigene_symbol	3	6	7
7227	Drosophila melanogaster	Invertebrates	H&E	HE	He	117464	ncbigene_symbol	3	6	7
7227	Drosophila melanogaster	Invertebrates	NF-kB,	NF-KB	Dif	35045	ncbigene_synonym	3	6	7
7227	Drosophila melanogaster	Invertebrates	NF-kB,	NF-KB	dl	35047	ncbigene_synonym	3	6	7
7227	Drosophila melanogaster	Invertebrates	NF-kB,	NF-KB	Rel	41087	ncbigene_synonym	3	6	7
7227	Drosophila melanogaster	Invertebrates	TLR4,	TLR4	Toll-4	34235	ncbigene_synonym	3	6	7
7227	Drosophila melanogaster	Invertebrates	TNF-a	TNF-A	egr	36054	ncbigene_synonym	3	6	7
7227	Drosophila melanogaster	Invertebrates	blot	BLOT	blot	39939	ncbigene_symbol	3	6	7
9606	Homo sapiens	Primates	was	WAS	WAS	7454	ncbigene_symbol	3	2	5
9606	Homo sapiens	Primates	mice	MICE	MICE	4280	ncbigene_symbol	3	2	5
9606	Homo sapiens	Primates	NF-kB,	NF-KB	NFKB1	4790	ncbigene_synonym	3	2	5
9606	Homo sapiens	Primates	TLR4,	TLR4	TLR4	7099	ncbigene_symbol	3	2	5
9606	Homo sapiens	Primates	TNF-a	TNF-A	TNF	7124	ncbigene_synonym	3	2	5
