organism_id	organism_name	organism_group	word	match	ncbigene_symbol	ncbigene_id	source	count_direct	count_match
7227	Drosophila melanogaster	Invertebrates	betae	BE	be	32430	ncbigene_symbol	6	6
7227	Drosophila melanogaster	Invertebrates	IPP	IPP	Ipp	41701	ncbigene_symbol	6	6
7227	Drosophila melanogaster	Invertebrates	IPP	IPP	CG9784	32629	ncbigene_synonym	6	6
7227	Drosophila melanogaster	Invertebrates	IPP	IPP	CG9426	34719	ncbigene_synonym	6	6
7227	Drosophila melanogaster	Invertebrates	IPP	IPP	CG6805	36911	ncbigene_synonym	6	6
7227	Drosophila melanogaster	Invertebrates	IPP	IPP	Synj	37517	ncbigene_synonym	6	6
7227	Drosophila melanogaster	Invertebrates	IPP	IPP	INPP5E	39404	ncbigene_synonym	6	6
7227	Drosophila melanogaster	Invertebrates	IPP	IPP	Ipp	41701	ncbigene_synonym	6	6
7227	Drosophila melanogaster	Invertebrates	IPP	IPP	5PtaseI	326119	ncbigene_synonym	6	6
7227	Drosophila melanogaster	Invertebrates	Apb	APB	apb	247776	ncbigene_symbol	6	6
7227	Drosophila melanogaster	Invertebrates	Va	VA	Va	247258	ncbigene_symbol	6	6
7227	Drosophila melanogaster	Invertebrates	TI	TI	ti	246793	ncbigene_symbol	6	6
7227	Drosophila melanogaster	Invertebrates	VI	VI	vi	250598	ncbigene_symbol	6	6
7227	Drosophila melanogaster	Invertebrates	VI	VI	Sh	32780	ncbigene_synonym	6	6
9606	Homo sapiens	Primates	IPP	IPP	IPP	3652	ncbigene_symbol	3	5
9606	Homo sapiens	Primates	BtC	BTC	BTC	685	ncbigene_symbol	3	5
9606	Homo sapiens	Primates	Apb	APB	RNPEP	6051	ncbigene_synonym	3	5
9606	Homo sapiens	Primates	Pb1,Betaestacin|(24)	PB1	SMR3A	26952	ncbigene_synonym	3	5
9606	Homo sapiens	Primates	Pb1,Betaestacin|(24)	PB1	PBRM1	55193	ncbigene_synonym	3	5
9606	Homo sapiens	Primates	Pb1,	PB1	SMR3A	26952	ncbigene_synonym	3	5
9606	Homo sapiens	Primates	Pb1,	PB1	PBRM1	55193	ncbigene_synonym	3	5
9606	Homo sapiens	Primates	HT	HT	HT	140805	ncbigene_symbol	3	5
