word	symbol	source	hgnc_symbol	entrez
DUSP	DUSP	bioentities_symbol	DUSP5	1847
DUSP	DUSP	bioentities_symbol	DUSP6	1848
DUSP	DUSP	bioentities_symbol	DUSP3	1845
DUSP	DUSP	bioentities_symbol	DUSP4	1846
PTEN	PTEN	hgnc_symbol	PTEN	5728
PSME3	PSME3	hgnc_symbol	PSME3	10197
VEGF	VEGF	bioentities_symbol	VEGFD	2277
VEGF	VEGF	bioentities_symbol	VEGFA	7422
ETS2	ETS2	hgnc_symbol	ETS2	2114
ATF2	ATF2	hgnc_symbol	ATF2	1386
FGF1	FGF1	hgnc_symbol	FGF1	2246
VEGF	VEGF	bioentities_symbol	PGF	5228
CRK	CRK	hgnc_symbol	CRK	1398
NOS1	NOS1	hgnc_symbol	NOS1	4842
TRAF6	TRAF6	hgnc_symbol	TRAF6	7189
DUSP	DUSP	bioentities_symbol	DUSP1	1843
DUSP	DUSP	bioentities_symbol	DUSP2	1844
CD4	CD4	hgnc_symbol	CD4	920
CDC2	CDC2	hgnc_alias_symbol	POLD1	5424
EPOR	EPOR	hgnc_symbol	EPOR	2057
MAP2K4	MAP2K4	hgnc_symbol	MAP2K4	6416
MOS	MOS	hgnc_symbol	MOS	4342
MAPK14	MAPK14	hgnc_symbol	MAPK14	1432
SOCS3	SOCS3	hgnc_symbol	SOCS3	9021
CAT	CAT	hgnc_symbol	CAT	847
CLS	CLS	hgnc_prev_symbol	RPS6KA3	6197
RB1	RB1	hgnc_symbol	RB1	5925
JUN	JUN	hgnc_symbol	JUN	3725
ADA	ADA	hgnc_symbol	ADA	100
PTGS2	PTGS2	hgnc_symbol	PTGS2	5743
MAPK1	MAPK1	hgnc_symbol	MAPK1	5594
SP3	SP3	hgnc_symbol	SP3	6670
JUND	JUND	hgnc_symbol	JUND	3727
Scot	SCOT	hgnc_alias_symbol	OXCT1	5019
EREG	EREG	hgnc_symbol	EREG	2069
FOS	FOS	hgnc_symbol	FOS	2353
CASP9	CASP9	hgnc_symbol	CASP9	842
C1	C1	bioentities_symbol	C1S	716
C1	C1	bioentities_symbol	C1QA	712
C1	C1	bioentities_symbol	C1QB	713
IL16	IL16	hgnc_symbol	IL16	3603
RIPK2	RIPK2	hgnc_symbol	RIPK2	8767
VEGF	VEGF	bioentities_symbol	VEGFC	7424
C1	C1	bioentities_symbol	C1QC	714
C1	C1	bioentities_symbol	C1R	715
VEGF	VEGF	bioentities_symbol	VEGFB	7423
GADD45	GADD45	hgnc_alias_symbol	GADD45A	1647
