word	symbol	source	hgnc_symbol	entrez
TNFR	TNF-R	hgnc_alias_symbol	TNFRSF1A	7132
ERK	ERK	bioentities_symbol	MAPK3	5595
S1P	S1P	hgnc_alias_symbol	MBTPS1	8720
ERK1/2	ERK1	hgnc_alias_symbol	MAPK3	5595
TNF	TNF	hgnc_symbol	TNF	7124
p-ERK	PERK	hgnc_alias_symbol	EIF2AK3	9451
ERK1/2	ERK2	hgnc_alias_symbol	MAPK1	5594
ERK	ERK	bioentities_symbol	MAPK1	5594
Edg/S1PR	S1PR	bioentities_symbol	S1PR3	1903
Furin	FURIN	hgnc_symbol	FURIN	5045
nSMase	nSMase	hgnc_alias_symbol	SMPD2	6610
Edg/S1PR	S1PR	bioentities_symbol	S1PR5	53637
Edg/S1PR	S1PR	bioentities_symbol	S1PR2	9294
Edg/S1PR	S1PR	bioentities_symbol	S1PR4	8698
Edg/S1PR	S1PR	bioentities_symbol	S1PR1	1901
MT1-MMP	MT1-MMP	hgnc_alias_symbol	MMP14	4323
MMP2	MMP2	hgnc_symbol	MMP2	4313
