word	symbol	source	hgnc_symbol	entrez
socs3	SOCS3	hgnc_symbol	SOCS3	9021
NF-KB	NF-kappaB	hgnc_alias_symbol	NFKB1	4790
JAK/	JAK	bioentities_symbol	JAK2	3717
SHP-2	SHP-2	hgnc_alias_symbol	PTPN11	5781
socs	SOCS	hgnc_alias_symbol	CISH	1154
MEK/ERK	ERK	bioentities_symbol	MAPK3	5595
JAK/	JAK	bioentities_symbol	JAK1	3716
JAK1/2	JAK2	hgnc_symbol	JAK2	3717
Rantes,	RANTES	hgnc_alias_symbol	CCL5	6352
STAT1/3	STAT3	hgnc_symbol	STAT3	6774
MEK/ERK	MEK	bioentities_symbol	MAP2K1	5604
JAK1/2	JAK1	hgnc_symbol	JAK1	3716
MEK/ERK	MEK	bioentities_symbol	MAP2K2	5605
STAT1/3	STAT1	hgnc_symbol	STAT1	6772
IL-6	IL-6	hgnc_alias_symbol	IL6	3569
JAK/	JAK	bioentities_symbol	TYK2	7297
MEK/ERK	ERK	bioentities_symbol	MAPK1	5594
JAK/	JAK	bioentities_symbol	JAK3	3718
IL-8,ICAM-1	IL-8	hgnc_alias_symbol	CXCL8	3576
IL-8,ICAM-1	ICAM1	hgnc_symbol	ICAM1	3383
