word	symbol	source	hgnc_symbol	entrez
TTDA	TTD-A	hgnc_alias_symbol	GTF2H5	404672
RBX1	RBX1	hgnc_symbol	RBX1	9978
(TCR)	TCR	bioentities_symbol	TRA	6955
(TCR)	TCR	bioentities_symbol	TRG	6965
XPA	XPA	hgnc_symbol	XPA	7507
HR23B,	HR23B	hgnc_alias_symbol	RAD23B	5887
(GGR)	GGR	hgnc_alias_symbol	GCGR	2642
RPA	RPA	bioentities_symbol	RPA3	6119
(TCR)	TCR	bioentities_symbol	TRD	6964
XPB	XPB	hgnc_alias_symbol	ERCC3	2071
DDB2	DDB2	hgnc_symbol	DDB2	1643
(TCR)	TCR	bioentities_symbol	TRB	6957
RPA	RPA	bioentities_symbol	RPA2	6118
DDB1	DDB1	hgnc_symbol	DDB1	1642
CDK7	CDK7	hgnc_symbol	CDK7	1022
XPC	XPC	hgnc_symbol	XPC	7508
XPD	XPD	hgnc_prev_symbol	ERCC2	2068
RPA	RPA	bioentities_symbol	RPA1	6117
CETN2	CETN2	hgnc_symbol	CETN2	1069
XPE	XPE	hgnc_alias_symbol	DDB2	1643
CCNH	CCNH	hgnc_symbol	CCNH	902
