word	symbol	source	hgnc_symbol	entrez
--ela	ELA	bioentities_symbol	AZU1	566
ORM	ORM	hgnc_alias_symbol	ATP5F1A	498
--ela	ELA	bioentities_symbol	PRTN3	5657
--ela	ELA	bioentities_symbol	CTRC	11330
--ela	ELA	bioentities_symbol	CELA2A	63036
--ela	ELA	bioentities_symbol	CELA2B	51032
--ela	ELA	bioentities_symbol	CELA3B	23436
Pemp	PEMP	hgnc_alias_symbol	MPP1	4354
--ela	ELA	bioentities_symbol	ELANE	1991
SMTN.	SMTN	hgnc_symbol	SMTN	6525
--ela	ELA	bioentities_symbol	CELA3A	10136
--ela	ELA	bioentities_symbol	CELA1	1990
