word	symbol	source	hgnc_symbol	entrez
NF-kBXIAPFoxo1,Bim	BIM	hgnc_alias_symbol	BCL2L11	10018
PDGFR	PDGFR	bioentities_symbol	PDGFRA	5156
Akt	AKT	bioentities_symbol	AKT2	208
Akt	AKT	bioentities_symbol	AKT3	10000
PKC	PKC	bioentities_symbol	PRKCI	5584
P13K	PI3K	bioentities_symbol	PIK3CG	5294
NF-kB	NF-kappaB	hgnc_alias_symbol	NFKB1	4790
Mek1/2	MEK2	hgnc_alias_symbol	MAP2K2	5605
Akt	AKT	bioentities_symbol	AKT1	207
PKB	PKB	hgnc_alias_symbol	AKT1	207
PDGFR	PDGFR	bioentities_symbol	PDGFRB	5159
Bcl2	BCL2	hgnc_symbol	BCL2	596
Sos	SOS	bioentities_symbol	SOS2	6655
P13K	PI3K	bioentities_symbol	PIK3CA	5290
Erk1/2	ERK2	hgnc_alias_symbol	MAPK1	5594
P13K	PI3K	bioentities_symbol	PIK3R3	8503
PDGF	PDGF	bioentities_symbol	PDGFB	5155
PDGF	PDGF	bioentities_symbol	PDGFC	56034
PDGF	PDGF	bioentities_symbol	PDGFA	5154
PKC	PKC	bioentities_symbol	PRKCA	5578
Raf	RAF	bioentities_symbol	BRAF	673
Sos	SOS	bioentities_symbol	SOS1	6654
VEGF	VEGF	bioentities_symbol	VEGFD	2277
EGFR	EGFR	hgnc_symbol	EGFR	1956
VEGF	VEGF	bioentities_symbol	PGF	5228
PKC	PKC	bioentities_symbol	PRKCQ	5588
Bcl-xl	bcl-xL	hgnc_alias_symbol	BCL2L1	598
XIAP	XIAP	hgnc_symbol	XIAP	331
P13K	PI3K	bioentities_symbol	PIK3CB	5291
P13K	PI3K	bioentities_symbol	PIK3CD	5293
C-Met	Met	hgnc_alias_symbol	SLTM	79811
PDGF	PDGF	bioentities_symbol	PDGFD	80310
Mek	MEK	bioentities_symbol	MAP2K2	5605
Mek1/2	MEK1	hgnc_alias_symbol	MAP2K1	5604
Ras	RAS	bioentities_symbol	HRAS	3265
Ras	RAS	bioentities_symbol	NRAS	4893
EGF	EGF	hgnc_symbol	EGF	1950
ENOS	eNOS	hgnc_alias_symbol	NOS3	4846
P13K	PI3K	bioentities_symbol	PIK3R6	146850
P13K	PI3K	bioentities_symbol	PIK3R5	23533
clathrin	Clathrin	bioentities_symbol	CLTB	1212
clathrin	Clathrin	bioentities_symbol	CLTC	1213
clathrin	Clathrin	bioentities_symbol	CLTA	1211
PKC	PKC	bioentities_symbol	PRKCG	5582
PKC	PKC	bioentities_symbol	PRKD3	23683
Mek	MEK	bioentities_symbol	MAP2K1	5604
Raf	RAF	bioentities_symbol	ARAF	369
Raf	RAF	bioentities_symbol	RAF1	5894
Ras	RAS	bioentities_symbol	KRAS	3845
P13K	PI3K	bioentities_symbol	PIK3R4	30849
VEGF	VEGF	bioentities_symbol	VEGFC	7424
Foxo1,	FOXO1	hgnc_symbol	FOXO1	2308
Foxo4	FOXO4	hgnc_symbol	FOXO4	4303
HSP90	HSP90	bioentities_symbol	HSP90B1	7184
PLC-g	PLCG	bioentities_symbol	PLCG1	5335
PKC	PKC	bioentities_symbol	PRKCZ	5590
HSP90	HSP90	bioentities_symbol	HSP90AB1	3326
Erk1/2	ERK1	hgnc_alias_symbol	MAPK3	5595
VEGF	VEGF	bioentities_symbol	VEGFA	7422
PLC-g	PLCG	bioentities_symbol	PLCG2	5336
HSP90	HSP90	bioentities_symbol	TRAP1	10131
PKC	PKC	bioentities_symbol	PRKCE	5581
PKC	PKC	bioentities_symbol	PRKCH	5583
VEGF	VEGF	bioentities_symbol	VEGFB	7423
HGF	HGF	hgnc_symbol	HGF	3082
PKC	PKC	bioentities_symbol	PRKCD	5580
PKC	PKC	bioentities_symbol	PRKCB	5579
