word	symbol	source	hgnc_symbol	entrez
MAPK	MAPK	bioentities_symbol	MAPK8	5599
elk1	elk1	hgnc_alias_symbol	KCNH4	23415
Fasl	FasL	hgnc_alias_symbol	FASLG	356
Dusp	DUSP	bioentities_symbol	DUSP6	1848
MAPKK	MAPKK	bioentities_symbol	MAP2K7	5609
MAPK	MAPK	bioentities_symbol	MAPK1	5594
MAPK	MAPK	bioentities_symbol	MAPK3	5595
MAPK	MAPK	bioentities_symbol	MAPK11	5600
MAPKK	MAPKK	bioentities_symbol	MAP2K6	5608
MAPK	MAPK	bioentities_symbol	MAPK14	1432
LPS	LPS	hgnc_prev_symbol	IRF6	3664
Prkcd	PRKCD	hgnc_symbol	PRKCD	5580
hgk	HGK	hgnc_alias_symbol	MAP4K4	9448
Fas	FAS	hgnc_symbol	FAS	355
Gnat2	GNAT2	hgnc_symbol	GNAT2	2780
Prkch	PRKCH	hgnc_symbol	PRKCH	5583
JNK	JNK	bioentities_symbol	MAPK10	5602
Dusp	DUSP	bioentities_symbol	DUSP4	1846
lax	LAX	hgnc_alias_symbol	LAX1	54900
Tnl	TNL	hgnc_alias_symbol	TRIM67	440730
tes	TES	hgnc_symbol	TES	26136
Pon	PON	hgnc_prev_symbol	PON1	5444
Dusp	DUSP	bioentities_symbol	DUSP5	1847
Dusp	DUSP	bioentities_symbol	DUSP3	1845
Prkce	PRKCE	hgnc_symbol	PRKCE	5581
gck	GCK	hgnc_symbol	GCK	2645
prak	PRAK	hgnc_alias_symbol	MAPKAPK5	8550
MAPK	MAPK	bioentities_symbol	MAPK9	5601
MAPK	MAPK	bioentities_symbol	MAPK10	5602
JNK	JNK	bioentities_symbol	MAPK9	5601
Sos2	SOS2	hgnc_symbol	SOS2	6655
Kras	KRAS	hgnc_symbol	KRAS	3845
SRF	SRF	hgnc_symbol	SRF	6722
MAPKK	MAPKK	bioentities_symbol	MAP2K5	5607
Cdc5	CDC5	hgnc_alias_symbol	CDC5L	988
Cdo	CDO	hgnc_alias_symbol	CDON	50937
Dusp	DUSP	bioentities_symbol	DUSP1	1843
Dusp	DUSP	bioentities_symbol	DUSP2	1844
JNK	JNK	bioentities_symbol	MAPK8	5599
Set	SET	hgnc_symbol	SET	6418
Ikbkg	IKBKG	hgnc_symbol	IKBKG	8517
Ila	ILA	hgnc_prev_symbol	TNFRSF9	3604
Pdg	PDG	hgnc_alias_symbol	PHGDH	26227
Bdnf	BDNF	hgnc_symbol	BDNF	627
Jund	JUND	hgnc_symbol	JUND	3727
MAPKK	MAPKK	bioentities_symbol	MAP2K3	5606
Rac2	RAC2	hgnc_symbol	RAC2	5880
ran	RAN	hgnc_symbol	RAN	5901
Braf	BRAF	hgnc_symbol	BRAF	673
Casp2	CASP2	hgnc_symbol	CASP2	835
Pak2	PAK2	hgnc_symbol	PAK2	5062
Cd14	CD14	hgnc_symbol	CD14	929
MAPK	MAPK	bioentities_symbol	MAPK13	5603
Mapl	MAPL	hgnc_alias_symbol	MUL1	79594
MAPKK	MAPKK	bioentities_symbol	MAP2K4	6416
Mapt	MAPT	hgnc_symbol	MAPT	4137
p38	p38	bioentities_symbol	MAPK14	1432
MAPK	MAPK	bioentities_symbol	MAPK12	6300
p38	p38	bioentities_symbol	MAPK11	5600
p38	p38	bioentities_symbol	MAPK12	6300
ask2	ASK2	hgnc_alias_symbol	MAP3K6	9064
Sapla	SAPLa	hgnc_alias_symbol	PPP6R3	55291
Nras	NRAS	hgnc_symbol	NRAS	4893
p38	p38	bioentities_symbol	MAPK13	5603
