word	symbol	source	hgnc_symbol	entrez
IKK.	IKK	bioentities_symbol	CHUK	1147
IKK.	IKK	bioentities_symbol	IKBKB	3551
IKKY	IKK-gamma	hgnc_alias_symbol	IKBKG	8517
IFN	IFN	hgnc_alias_symbol	IFNA1	3439
TLR4	TLR4	hgnc_symbol	TLR4	7099
TIRAP	TIRAP	hgnc_symbol	TIRAP	114609
IRAK1	IRAK1	hgnc_symbol	IRAK1	3654
TLR3	TLR3	hgnc_symbol	TLR3	7098
TLR7	TLR7	hgnc_symbol	TLR7	51284
IKK.	IKK	bioentities_symbol	IKBKG	8517
TAK1	TAK1	hgnc_alias_symbol	NR2C2	7182
SARM	SARM	hgnc_alias_symbol	SARM1	23098
TANK	TANK	hgnc_symbol	TANK	10010
MyD88	MYD88	hgnc_symbol	MYD88	4615
IRAK4	IRAK4	hgnc_symbol	IRAK4	51135
IKKB	IKK-beta	hgnc_alias_symbol	IKBKB	3551
IRF7	IRF7	hgnc_symbol	IRF7	3665
NF-KB	NF-kappaB	hgnc_alias_symbol	NFKB1	4790
IKKA	IKK-alpha	hgnc_alias_symbol	CHUK	1147
RIP1	RIP-1	hgnc_alias_symbol	KRR1	11103
NF-KBIE	NFKBIE	hgnc_symbol	NFKBIE	4794
