word	symbol	source	hgnc_symbol	entrez
IGF1	IGF1	hgnc_symbol	IGF1	3479
ATF4	ATF4	hgnc_symbol	ATF4	468
JNK	JNK	bioentities_symbol	MAPK10	5602
ATG12,ATG5,LC3,BECN1	LC3	hgnc_alias_symbol	MAP1LC3A	84557
ATG12,ATG5,LC3,BECN1	ATG5	hgnc_symbol	ATG5	9474
FOXO1	FOXO1	hgnc_symbol	FOXO1	2308
JNK	JNK	bioentities_symbol	MAPK9	5601
BECN1	BECN1	hgnc_symbol	BECN1	8678
(BCL2,	BCL2	hgnc_symbol	BCL2	596
(TRAF2	TRAF2	hgnc_symbol	TRAF2	7186
IRE1	IRE1	hgnc_alias_symbol	ERN1	2081
JNK	JNK	bioentities_symbol	MAPK8	5599
ATG12,	ATG12	hgnc_symbol	ATG12	9140
Insulin/Irs2	IRS2	hgnc_symbol	IRS2	8660
pta	PT-ALPHA	hgnc_alias_symbol	PTCRA	171558
PERK	PERK	hgnc_alias_symbol	EIF2AK3	9451
