word	symbol	source	hgnc_symbol	entrez
Derlin-2	derlin-2	hgnc_alias_symbol	DERL2	51009
CRP	CRP	hgnc_symbol	CRP	1401
PI3K	PI3K	bioentities_symbol	PIK3CB	5291
BLNK	BLNK	hgnc_symbol	BLNK	29760
Crkl.	CRKL	hgnc_symbol	CRKL	1399
CRIK	CRIK	hgnc_alias_symbol	CIT	11113
Derlin1	derlin-1	hgnc_alias_symbol	DERL1	79139
p38	p38	bioentities_symbol	MAPK13	5603
CDR1	CDR1	hgnc_symbol	CDR1	1038
PI3K	PI3K	bioentities_symbol	PIK3CG	5294
PI3K	PI3K	bioentities_symbol	PIK3R4	30849
PI3K	PI3K	bioentities_symbol	PIK3CA	5290
ARF6	ARF6	hgnc_symbol	ARF6	382
p38	p38	bioentities_symbol	MAPK12	6300
PAK1	PAK1	hgnc_symbol	PAK1	5058
PDIA3	PDIA3	hgnc_symbol	PDIA3	2923
p38	p38	bioentities_symbol	MAPK11	5600
CD6	CD6	hgnc_symbol	CD6	923
CD74	CD74	hgnc_symbol	CD74	972
PI3K	PI3K	bioentities_symbol	PIK3R5	23533
HSP90	HSP90	bioentities_symbol	TRAP1	10131
HSP90	HSP90	bioentities_symbol	HSP90AB1	3326
MAPK	MAPK	bioentities_symbol	MAPK12	6300
ELMO1	ELMO1	hgnc_symbol	ELMO1	9844
ENDO180	ENDO180	hgnc_alias_symbol	MRC2	9902
CaBP1	CABP1	hgnc_symbol	CABP1	9478
cat	CAT	hgnc_symbol	CAT	847
(CD16)	CD16	bioentities_symbol	FCGR3A	2214
(CD16)	CD16	bioentities_symbol	FCGR3B	2215
CD23	CD23	hgnc_alias_symbol	FCER2	2208
GRB2	GRB2	hgnc_symbol	GRB2	2885
Hck	HCK	hgnc_symbol	HCK	3055
PI3K	PI3K	bioentities_symbol	PIK3R6	146850
alpha-M/beta-2	BII	hgnc_alias_symbol	CACNA1E	777
ar	AR	hgnc_symbol	AR	367
MAPK	MAPK	bioentities_symbol	MAPK10	5602
PI3K	PI3K	bioentities_symbol	PIK3CD	5293
N-WASP	N-WASP	hgnc_alias_symbol	WASL	8976
HSP90alpha	HSP90A	bioentities_symbol	HSP90AA1	3320
ERM	ERM	hgnc_alias_symbol	ETV5	2119
NF-kB2	NF-kB2	hgnc_alias_symbol	NFKB2	4791
ROCK	ROCK	bioentities_symbol	ROCK2	9475
p38	p38	bioentities_symbol	MAPK14	1432
FPR	FPR	hgnc_alias_symbol	FPR1	2357
ROCK	ROCK	bioentities_symbol	ROCK1	6093
MAPK	MAPK	bioentities_symbol	MAPK13	5603
MAPK	MAPK	bioentities_symbol	MAPK3	5595
ROCK2	ROCK2	hgnc_symbol	ROCK2	9475
SHPS1	SHPS-1	hgnc_alias_symbol	SIRPA	140885
Actin	Actin	bioentities_symbol	ACTA2	59
PI3K	PI3K	bioentities_symbol	PIK3R3	8503
HSP90	HSP90	bioentities_symbol	HSP90B1	7184
Caseinkinase,alphachains	alpha-chain	hgnc_alias_symbol	FCGRT	2217
RalA	RALA	hgnc_symbol	RALA	5898
MAPK	MAPK	bioentities_symbol	MAPK8	5599
FGR	FGR	hgnc_symbol	FGR	2268
POR1	POR1	hgnc_alias_symbol	ARFIP2	23647
MAPK	MAPK	bioentities_symbol	MAPK9	5601
TAP	TAP	bioentities_symbol	TAP1	6890
Vitronectin	VTN	hgnc_symbol	VTN	7448
MAPK	MAPK	bioentities_symbol	MAPK11	5600
TAP	TAP	bioentities_symbol	ABCB9	23457
HSP90alpha	HSP90A	bioentities_symbol	HSP90AB1	3326
NF-kB	NF-kappaB	hgnc_alias_symbol	NFKB1	4790
Actin	Actin	bioentities_symbol	ACTC1	70
Actin	Actin	bioentities_symbol	ACTG2	72
Actin	Actin	bioentities_symbol	ACTG1	71
RhoA	RhoA	hgnc_alias_symbol	RHOA	387
Actin	Actin	bioentities_symbol	ACTB	60
WASP	WASP	hgnc_alias_symbol	WAS	7454
LPS	LPS	hgnc_prev_symbol	IRF6	3664
MAPK	MAPK	bioentities_symbol	MAPK14	1432
Actin	Actin	bioentities_symbol	ACTA1	58
LBP	LBP	hgnc_symbol	LBP	3929
TAP	TAP	bioentities_symbol	TAP2	6891
TRAM1	TRAM1	hgnc_symbol	TRAM1	23471
VAM-1	VAM-1	hgnc_alias_symbol	MPP6	51678
LAT	LAT	hgnc_symbol	LAT	27040
VASP	VASP	hgnc_symbol	VASP	7408
MAPK	MAPK	bioentities_symbol	MAPK1	5594
