word	symbol	source	hgnc_symbol	entrez
Interferon	Interferon	bioentities_symbol	IFNB1	3456
TRAF6	TRAF6	hgnc_symbol	TRAF6	7189
Interferon	Interferon	bioentities_symbol	IFNA21	3452
TNF-a	TNF-alpha	hgnc_alias_symbol	TNF	7124
IKKcomplex	IKK_complex	bioentities_symbol	CHUK	1147
Interferon	Interferon	bioentities_symbol	IFNA17	3451
MD2	MD-2	hgnc_alias_symbol	LY96	23643
Interferon	Interferon	bioentities_symbol	IFNA7	3444
CD14	CD14	hgnc_symbol	CD14	929
Interferon	Interferon	bioentities_symbol	IFNA16	3449
LPS	LPS	hgnc_prev_symbol	IRF6	3664
Interferon	Interferon	bioentities_symbol	IFNA13	3447
IRF	IRF	hgnc_alias_symbol	TRIM63	84676
IKK	IKK	bioentities_symbol	IKBKG	8517
Interferon	Interferon	bioentities_symbol	IFNA14	3448
IKK	IKK	bioentities_symbol	IKBKB	3551
Interferon	Interferon	bioentities_symbol	IFNA5	3442
IKK	IKK	bioentities_symbol	CHUK	1147
MYD88	MYD88	hgnc_symbol	MYD88	4615
Interferon	Interferon	bioentities_symbol	IFNA4	3441
Interferon	Interferon	bioentities_symbol	IFNA10	3446
TLR8	TLR8	hgnc_symbol	TLR8	51311
Interferon	Interferon	bioentities_symbol	IFNA6	3443
Interferon	Interferon	bioentities_symbol	IFNA2	3440
NF-KB	NF-kappaB	hgnc_alias_symbol	NFKB1	4790
TLR9	TLR9	hgnc_symbol	TLR9	54106
TLR7	TLR7	hgnc_symbol	TLR7	51284
IKKcomplex	IKK_complex	bioentities_symbol	IKBKB	3551
Interferon	Interferon	bioentities_symbol	IFNA8	3445
Interferon	Interferon	bioentities_symbol	IFNW1	3467
TLR5	TLR5	hgnc_symbol	TLR5	7100
TLR3	TLR3	hgnc_symbol	TLR3	7098
IKKcomplex	IKK_complex	bioentities_symbol	IKBKG	8517
IRF3	IRF3	hgnc_symbol	IRF3	3661
Interferon	Interferon	bioentities_symbol	IFNA1	3439
IRAK1,	IRAK1	hgnc_symbol	IRAK1	3654
TLR4	TLR4	hgnc_symbol	TLR4	7099
Interferon	Interferon	bioentities_symbol	IFNK	56832
TAK/TAB	TAK	hgnc_alias_symbol	CDK9	1025
IRAK4	IRAK4	hgnc_symbol	IRAK4	51135
TIRAP	TIRAP	hgnc_symbol	TIRAP	114609
TBK1	TBK1	hgnc_symbol	TBK1	29110
