word	symbol	source	hgnc_symbol	entrez
PKC	PKC	bioentities_symbol	PRKCG	5582
AC	AC	bioentities_symbol	ADCY4	196883
AC	AC	bioentities_symbol	ADCY9	115
AC	AC	bioentities_symbol	ADCY6	112
PKC	PKC	bioentities_symbol	PRKCA	5578
PKC	PKC	bioentities_symbol	PRKCD	5580
PKA	PKA	bioentities_symbol	PRKACG	5568
PKC	PKC	bioentities_symbol	PRKCE	5581
PKC	PKC	bioentities_symbol	PRKD3	23683
PKC	PKC	bioentities_symbol	PRKCH	5583
PLC-B	PLCB	bioentities_symbol	PLCB4	5332
AC	AC	bioentities_symbol	ADCY8	114
RhoA	RhoA	hgnc_alias_symbol	RHOA	387
AC	AC	bioentities_symbol	ADCY5	111
PI3K/Akt	PI3K	bioentities_symbol	PIK3R6	146850
Rap1b	RAP1B	hgnc_symbol	RAP1B	5908
AC	AC	bioentities_symbol	ADCY7	113
PKC	PKC	bioentities_symbol	PRKCB	5579
PLC-B	PLCB	bioentities_symbol	PLCB3	5331
PI3K/Akt	PI3K	bioentities_symbol	PIK3R4	30849
AC	AC	bioentities_symbol	ADCY10	55811
PI3K/Akt	AKT	bioentities_symbol	AKT1	207
PKC	PKC	bioentities_symbol	PRKCI	5584
AC	AC	bioentities_symbol	ADCY3	109
Gi	Gi	bioentities_symbol	GNAT2	2780
PKA	PKA	bioentities_symbol	PRKAR1A	5573
PLC-B	PLCB	bioentities_symbol	PLCB2	5330
AC	AC	bioentities_symbol	ADCY2	108
PI3K/Akt	PI3K	bioentities_symbol	PIK3R5	23533
Gi	Gi	bioentities_symbol	GNAZ	2781
PI3K/Akt	PI3K	bioentities_symbol	PIK3CG	5294
PKA	PKA	bioentities_symbol	PRKAR1B	5575
Gi	Gi	bioentities_symbol	GNAT1	2779
PI3K/Akt	AKT	bioentities_symbol	AKT3	10000
ROCK	ROCK	bioentities_symbol	ROCK1	6093
PKA	PKA	bioentities_symbol	PRKACB	5567
PKC	PKC	bioentities_symbol	PRKCQ	5588
PI3K/Akt	AKT	bioentities_symbol	AKT2	208
PKA	PKA	bioentities_symbol	PRKACA	5566
Gi	Gi	bioentities_symbol	GNAI3	2773
Gi	Gi	bioentities_symbol	GNAO1	2775
PI3K/Akt	PI3K	bioentities_symbol	PIK3R3	8503
Gi	Gi	bioentities_symbol	GNAI2	2771
cá2+↑	CA-II	hgnc_alias_symbol	CA2	760
PLC-B	PLCB	bioentities_symbol	PLCB1	23236
PI3K/Akt	PI3K	bioentities_symbol	PIK3CD	5293
PKC	PKC	bioentities_symbol	PRKCZ	5590
P2Y12	P2Y12	hgnc_alias_symbol	P2RY12	64805
PAR4	par-4	hgnc_alias_symbol	PAWR	5074
PI3K/Akt	PI3K	bioentities_symbol	PIK3CA	5290
Gi	Gi	bioentities_symbol	GNAI1	2770
ADP	ADP	hgnc_alias_symbol	WDTC1	23038
PKA	PKA	bioentities_symbol	PRKAR2B	5577
PI3K/Akt	PI3K	bioentities_symbol	PIK3CB	5291
ROCK	ROCK	bioentities_symbol	ROCK2	9475
P2Y1	P2Y1	hgnc_alias_symbol	P2RY1	5028
MLC	MLC	hgnc_alias_symbol	MLC1	23209
AC	AC	bioentities_symbol	ADCY1	107
GEF	GEF	hgnc_alias_symbol	SLC2A4RG	56731
Gq	Gq	bioentities_symbol	GNAQ	2776
PKA	PKA	bioentities_symbol	PRKAR2A	5576
Gq	Gq	bioentities_symbol	GNA11	2767
Gq	Gq	bioentities_symbol	GNA15	2769
Gq	Gq	bioentities_symbol	GNA14	9630
Gi	Gi	bioentities_symbol	GNAT3	346562
