word	symbol	source	hgnc_symbol	entrez
p38-	p38	bioentities_symbol	MAPK11	5600
NFKB	NFKB	bioentities_symbol	REL	5966
NFKB	NFKB	bioentities_symbol	RELA	5970
NFKB	NFKB	bioentities_symbol	RELB	5971
MAPK	MAPK	bioentities_symbol	MAPK3	5595
MAPK	MAPK	bioentities_symbol	MAPK1	5594
p38-	p38	bioentities_symbol	MAPK13	5603
NFKB	NFKB	bioentities_symbol	NFKB2	4791
p38-	p38	bioentities_symbol	MAPK14	1432
MAPK	MAPK	bioentities_symbol	MAPK14	1432
FOXO	FOXO	bioentities_symbol	FOXO4	4303
MAPK	MAPK	bioentities_symbol	MAPK9	5601
p38-	p38	bioentities_symbol	MAPK12	6300
MAPK	MAPK	bioentities_symbol	MAPK8	5599
L-selectin&CCR7	CCR7	hgnc_symbol	CCR7	1236
FOXO	FOXO	bioentities_symbol	FOXO6	100132074
FOXO	FOXO	bioentities_symbol	FOXO1	2308
MAPK	MAPK	bioentities_symbol	MAPK12	6300
NFKB	NFKB	bioentities_symbol	NFKB1	4790
MAPK	MAPK	bioentities_symbol	MAPK11	5600
APCS	APCS	hgnc_symbol	APCS	325
MAPK	MAPK	bioentities_symbol	MAPK10	5602
LAT	LAT	hgnc_symbol	LAT	27040
FOXO	FOXO	bioentities_symbol	FOXO3	2309
MAPK	MAPK	bioentities_symbol	MAPK13	5603
ERK	ERK	bioentities_symbol	MAPK3	5595
ERK	ERK	bioentities_symbol	MAPK1	5594
