word	symbol	source	hgnc_symbol	entrez
Rac	RAC	bioentities_symbol	RHOG	391
Rho-B	RHOB	hgnc_symbol	RHOB	388
ERK	ERK	bioentities_symbol	MAPK1	5594
Rac	RAC	bioentities_symbol	RAC1	5879
ras	RAS	bioentities_symbol	KRAS	3845
ERK	ERK	bioentities_symbol	MAPK3	5595
MEK	MEK	bioentities_symbol	MAP2K1	5604
ras	RAS	bioentities_symbol	NRAS	4893
BAD	BAD	hgnc_symbol	BAD	572
EGF	EGF	hgnc_symbol	EGF	1950
AKT	AKT	bioentities_symbol	AKT3	10000
MEK	MEK	bioentities_symbol	MAP2K2	5605
RAL-GDS	RALGDS	hgnc_symbol	RALGDS	5900
Raf	RAF	bioentities_symbol	ARAF	369
ras	RAS	bioentities_symbol	HRAS	3265
GEF	GEF	hgnc_alias_symbol	SLC2A4RG	56731
AKT	AKT	bioentities_symbol	AKT1	207
AKT	AKT	bioentities_symbol	AKT2	208
Rac	RAC	bioentities_symbol	RAC3	5881
Raf	RAF	bioentities_symbol	BRAF	673
Raf	RAF	bioentities_symbol	RAF1	5894
Rac	RAC	bioentities_symbol	RAC2	5880
