word	symbol	source	hgnc_symbol	entrez
APCC	APC_C	bioentities_symbol	ANAPC2	29882
APCC	APC_C	bioentities_symbol	ANAPC15	25906
APCC	APC_C	bioentities_symbol	CDC23	8697
APCC	APC_C	bioentities_symbol	CDC27	996
APC	APC	hgnc_symbol	APC	324
APCC	APC_C	bioentities_symbol	ANAPC13	25847
APCC	APC_C	bioentities_symbol	CDC26	246184
PC	PC	hgnc_symbol	PC	5091
APCC	APC_C	bioentities_symbol	ANAPC5	51433
APCC	APC_C	bioentities_symbol	CDC16	8881
APCC	APC_C	bioentities_symbol	ANAPC11	51529
APCC	APC_C	bioentities_symbol	ANAPC1	64682
APCC	APC_C	bioentities_symbol	ANAPC4	29945
APCC	APC_C	bioentities_symbol	ANAPC10	10393
APCC	APC_C	bioentities_symbol	ANAPC16	119504
APCC	APC_C	bioentities_symbol	ANAPC7	51434
